São Paulo/BR;3.88;0.32;95.80
Miami/US;3.98;0.33;95.69
Barcelona/ES;4.57;0.43;95.01
Johannesburg/ZA;3.82;0.39;95.79
Zurich/CH;4.85;0.52;94.63
Paris/FR;4.18;0.48;95.34
