tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
177211 2.25 0.00 0 0 0 0 93 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
177211 1436.00 0.81 20245 0 0 231 0 1 7524 7 67 0 121 0 0 0 0 5818 17329 415 261 0 6401 397 0 1556 1031 0 13102 30 0 0 0 0 0 0 1240 912 0 49 0 486 254 188 0 312 1211 0 498 1 13 0 0 1 269 0 1 0 1 0 377 1 0 125 0 1 0 0 1 7706 248 20124 4090 4 0 1 0 0 501 639 248 0 35 1 2384 287 0 0 20141 45 0 0 0 0 0 18 1 1 0 6649 0 0
177211 7935.23 4.48 1375 5603 267 5824 700 443 23746 7837 865 22104 8698 4868 537 393 806 17933 42872 821 7428 314 1 5004 8209 945 0 14722 0 882 2389 10752 1538 4707 5548 1123 4304 1755 0 21276 20622 1825 5000 3479 3725 0 147 14284 3489 17321 763 36773 7783 570 1 19269 0 22883 17715 0 263 1456 12583 6251 650 10049 2149 1661 1242 18632 1421 5336 54930 423 4071 72536 1179 1129 12921 1 3 1484 46626 3199 1138 1562 12 223 1331 889 8594 10897 9794 27870 5090 0 3287 3454 8387 9868 4938 23756
177211 31790.96 17.94 40197 13601 15804 14135 11143 21947 43969 48424 2371 38246 17695 3753 53125 7059 88447 28498 73992 39187 6944 23003 47894 1188 20029 6483 34164 47967 44088 43161 24659 43676 47889 78678 29845 13182 1870 7425 5954 32435 54824 57783 35401 2293 72270 57599 14794 39064 60369 14932 14993 64515 21600 11555 29961 35954 58778 48365 18545 1869 40218 17527 53814 5345 41588 14490 13539 95765 17293 1530 48392 68327 634 18063 3735 5183 52482 3134 20180 19776 63285 35622 50079 35139 32378 15877 50421 89855 30000 12625 71292 24491 36911 85 63858 8272 40572 46946 56009 4125 29057 3591
177211 71322.65 40.25 74908 43031 40346 86678 109169 30603 30566 121638 71514 68589 34603 47488 42834 71068 55084 65399 34150 57948 62774 98435 124687 26881 58885 36268 77332 50394 55448 56846 93307 98663 54559 100987 78261 86233 54757 40879 58289 93397 114347 65644 110627 56148 72577 67853 40230 30437 44557 34188 90242 120650 86767 80023 125928 94726 39543 84511 89096 77933 96096 82697 99402 51524 105735 103515 76310 64837 16538 59734 70772 42149 90007 21378 60957 34542 78000 91251 93524 41998 101716 112276 54031 121889 110517 83896 99296 33857 83776 96674 102528 53445 37383 11408 111676 97454 19369 83497 65643 69061 100032 82950
177211 129744.00 73.21 129744
