tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
1155696 0.42 0.00 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 3 0 0 0 0 0 1 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 2 0 0 0 0 0 0 0
1155696 236.14 0.02 1324 5 15 9 1233 3 0 1245 1 167 78 0 4 5 29 62 4 1301 0 80 1518 12 153 642 124 44 109 5 607 1 98 0 0 1918 0 693 1 355 3 3 706 574 144 199 1 1 61 3 287 2 178 1378 0 2 0 50 768 1 1 0 162 1 0 72 3 1 387 0 0 204 1 244 1297 2 215 1 163 561 3 87 0 19 482 1 157 63 2 24 568 116 1 117 398 1601 27 146 1 19 35 226
1155696 1875.39 0.16 327 4372 1486 311 2808 3020 732 13 1331 2125 1445 1040 1623 5402 4016 417 914 3005 2454 2098 263 1563 431 509 646 601 1875 830 1929 19 685 12502 3858 772 859 250 1814 959 3390 1886 1493 1385 3990 950 1947 385 1013 812 660 197 24 34 1076 512 116 7782 40 4523 33 439 3229 660 1562 318 5963 4265 9 4114 780 1643 1203 1655 474 1844 529 2535 2608 2029 2075 6018 1955 174 3787 385 895 1468 1281 805 3462 2730 100 945 3052 1572 1402 1190 6597 947 1539 7749
1155696 15967.30 1.38 22392 9152 14264 26895 7949 3904 10902 22949 15912 4971 25780 6671 21777 17551 27291 11492 12712 463 10404 19787 25291 19360 14679 18574 9883 18104 13599 3592 9127 19460 47867 13509 35903 30767 18409 26533 34393 15608 15786 1479 17098 1614 4654 11003 11341 10384 10315 11890 17156 27819 5963 40027 17804 2454 20608 19386 12428 3969 7171 11367 18373 3421 5348 2627 8676 11949 50469 6027 37154 6670 4898 4300 25376 9822 16473 15088 17920 9804 25511 9187 23628 11595 7391 7624 16852 12774 20982 16510 17836 9522 27219 42674 11901 18580 8668 36767 10228 39965 5500 11829
1155696 53204.67 4.60 50347 60465 61888 71932 30788 82841 97734 54790 29070 58942 46747 82417 86553 75654 33210 19512 44626 74140 35778 34510 78155 39704 60400 55225 44401 46541 61773 46314 64737 47080 39652 21700 56060 74094 48044 23859 56452 35773 57600 64374 35228 58338 35162 34144 50179 63070 66379 56335 91251 34570 41026 32462 85993 48652 46704 51804 76888 42711 46402 32683 61886 68008 39067 51883 41228 45493 31139 49380 74928 44500 51939 63783 81128 20314 45030 53073 31057 79838 35545 59414 49419 54793 75192 57812 55581 41554 45649 21610 46490 32155 57843 80694 84930 91882 68034 57870 49869 41519 80843 14232
1155696 144021.00 12.46 144021
