tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
2912439 22443.25 0.77 0 0 0 0 0 0 143236 135435 0 0 0 178912 0 0 0 0 0 187653 0 0 0 0 0 0 0 0 182789 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 143240 0 0 6789 0 0 0 119476 147439 0 0 0 0 0 147439 1 0 0 15690 0 0 0 0 326351 187653 179391 0 0 6789 0 0 136042 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2912439 290703.58 9.98 416511 639175 6790 773820 178913 307902 771773 333694 419732 383581 190545 262649 0 197652 326586 15690 185701 313089 6789 135435 178912 573100 143236 1 283958 255518 659881 187653 393124 115075 240341 125436 0 323917 135435 260876 376649 127214 378197 704988 299458 644657 244328 320038 589298 348628 613058 389926 15690 531816 127214 322631 125436 287677 136042 136043 326830 0 182789 353277 586430 179391 706421 430269 380441 127214 0 649674 504668 270451 189578 178912 266919 6789 304348 323088 205837 178912 268267 473464 182789 213346 308225 147440 440390 154228 437235 0 446835 704005 205837 136043 314351 157914 0 4 435116 574574 330228 326351
2912439 700784.39 24.06 579119 768805 589281 384749 987662 423137 847092 907584 503633 544619 871063 748738 562489 647954 758897 623663 538730 601710 949575 650896 914239 201874 835615 894587 858370 492809 730858 765464 539693 1160034 658710 1252416 1137155 360594 954628 616045 770221 571405 1057089 614368 1013757 1008361 1187190 912232 868776 1222634 496637 1077952 804737 670128 480208 297464 765128 594014 1190718 643715 846475 470546 939026 585465 512291 270601 142909 205837 959893 150025 741148 496040 497075 881665 305938 1109264 793780 534900 278947 803891 749774 548243 749432 993681 698179 991438 662114 769966 272309 632651 939076 383353 826929 1263515 120249 696248 441161 450810 968409 690996 554551 823034 761059 456325
2912439 1430528.27 49.12 1106831 1600094 1389657 1143999 1712412 1554156 1280659 821411 1500933 918913 1659670 1058218 1727416 2056927 842280 1969234 1487117 1288198 1638374 1709673 1612922 1426550 1317487 1270492 1086548 1641897 1931556 1822943 1593445 1557867 1023459 1172766 1528538 1590337 1436716 1265148 774302 1658404 1535167 2001503 1855066 791192 1346833 1563076 1076313 1547596 1262372 1469910 1249311 1472672 1992434 1714366 1355934 1238628 1383613 1917636 1098729 1705642 1283125 1433589 816306 1677743 1213186 1518931 1240459 1755712 1258731 1476127 1433797 1699006 858364 1401811 1381541 1757083 1980187 1162139 2080957 1883590 1811632 915488 1190379 1136103 450563 1673186 1625967 1491505 1479668 1301539 1589682 1213246 1689802 1848947 626765 1706676 1004818 1249601 1474164 1281379 1987921 1235870
2912439 2183791.15 74.98 2337235 1851861 1876893 2762746 2119369 2020332 2246597 2152471 2336094 2264431 1758838 2039007 2442720 2104666 2612980 2295530 2493505 2102737 2280796 1527873 2570560 2243433 1722863 2251829 2294707 2025914 1917617 2418853 2489308 2236849 2012671 2094684 1995761 2488169 2590811 2264946 2465542 2132235 1861510 2314073 2177753 1501262 1621648 2254825 2023536 2308731 2525481 1843970 2415037 1748574 2003257 1981926 2140062 2296938 2423120 2399353 2218116 2016040 2438413 1942674 2229519 2127769 2451690 1943375 1941590 2456446 2125355 1844045 1977544 2059560 2401698 2108845 2280415 2760707 1997648 2142704 2279485 2466211 2142099 2151699 2162479 2039951 2054683 2326229 2322769 2305079 2213772 2442286 2074497 2177539 1991463 1592452 2451850 2529874 1902358 1955584 2228801 2258077 2374233 2787003
2912439 2912439.00 100.00 2912439
