tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
2529651 5.36 0.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 518 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0
2529651 11665.48 0.46 1085 324 0 43504 46 45129 1722 14626 6820 3480 3152 32505 14011 187411 4608 577 116751 4675 148647 22 1 0 1608 1 5521 0 4432 8212 640 2042 54572 23901 0 3147 3 0 11714 547 4740 5237 0 0 34922 1906 0 21364 1 679 0 34 1583 0 0 5 16062 3040 15744 0 37170 0 1093 40047 45 0 0 3996 4 0 2218 6 4 0 4 3175 1967 1675 11546 6203 0 14173 2522 1 0 265 0 47451 1027 771 0 41 7569 0 0 80463 0 4218 5597 272 657 41615
2529651 110340.88 4.36 77946 3617 38121 91645 25521 431791 131798 122880 116071 97278 143826 191116 3020 666 278624 50854 97552 19326 31177 89016 71648 68 150011 65249 203258 110804 62426 0 86926 3051 133857 891 82304 177442 75953 16477 147179 91922 129031 89438 224725 186232 73792 154076 30865 8720 7595 12571 112069 10860 170655 18848 47512 178237 78497 352761 21085 120018 80314 510778 14895 88968 164799 270438 48287 84046 101525 41625 9567 126576 301370 107085 21454 193219 126130 241253 47653 248404 217916 242538 223986 105645 2900 15804 22294 84547 211652 16840 103446 200866 111431 215453 169896 8961 5968 176434 117296 65737 230159 107035
2529651 392842.63 15.53 432766 336251 35212 614996 128141 708456 175508 364077 359522 271255 375641 436537 430609 501948 444031 483173 79167 602026 406197 177975 350986 391371 661276 175686 428043 380207 408686 680650 337121 271788 311874 477084 229583 331880 502198 408222 180159 434130 384720 760466 455892 235446 407672 493629 239855 612396 763055 136943 488910 475366 611647 355531 328221 66917 267608 572029 202151 392235 819146 273334 218572 192555 478453 427286 571627 213773 904507 190601 347268 318966 92126 991086 524360 318936 643775 202017 867143 167334 119438 68089 560823 59946 744813 563460 366053 235820 410662 52820 680411 248857 563365 494887 434193 179985 351577 511726 439871 159158 329447 370876
2529651 874904.52 34.59 850200 801333 1500384 1043186 816646 686901 912543 892514 660187 637010 1177748 873929 996790 1094533 827441 782490 864618 336824 1132025 652703 1106448 571329 1433173 1016132 760853 780999 959927 1102769 959150 947472 1073014 681779 405377 962124 880515 879177 1149110 855631 970724 1136836 759306 819732 519505 1223687 970162 798524 893610 931049 1041085 1177214 745287 677156 435328 1066005 1194364 1050061 587075 1184493 1041266 827980 1080960 485098 1240682 812675 1125637 883408 1166314 826592 780762 417249 723732 835558 719957 726254 1013452 750926 429970 511502 958981 863064 1089467 1189829 1121695 740555 583290 613823 854374 967902 363648 1103424 857586 1110126 664298 806311 768274 656928 820412 1095872 886693 727739
2529651 1596620.00 63.12 1596620
