tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
1144225 3.38 0.00 0 0 0 0 0 0 0 0 0 0 37 1 76 0 0 0 0 0 0 0 0 0 0 0 0 44 0 0 9 0 0 0 0 0 0 0 0 0 0 76 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 37 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 9 0 0 0 0 0 12 0 1 0 0 0 0 6 0 0 0 0 2 0 0 0
1144225 157.68 0.01 28 222 12 92 12 235 11 109 149 286 274 120 63 43 117 87 6 135 0 442 126 108 374 12 7 421 31 0 1 40 0 6 260 22 68 444 240 128 86 179 1 145 847 0 570 2 0 90 53 258 38 5 26 151 0 6 137 555 6 212 306 24 215 226 575 217 13 12 1950 59 1 27 50 164 148 0 359 145 2 121 138 40 37 96 15 104 180 368 1136 62 77 0 106 14 0 0 32 647 3 1
1144225 1857.15 0.16 1967 4289 1368 2473 4404 706 4440 2124 1496 544 6444 1881 1958 1769 377 707 225 4487 1035 3906 2704 247 805 3544 7558 1169 674 757 1233 1692 557 867 3764 1031 659 1720 831 1164 768 2680 4918 1590 3162 1058 793 742 6012 1631 4231 2201 428 7 7506 252 250 40 550 2473 863 3261 130 5552 993 58 188 817 976 64 743 1228 1330 1445 1495 795 2684 1475 1966 2225 2231 233 136 2194 2804 3825 4512 158 1155 2090 1524 12 788 892 3389 440 6120 553 275 489 3150 1589
1144225 11832.09 1.03 11494 16632 16709 17699 7861 6525 11190 4638 14381 31799 16042 10427 12529 11105 25575 8439 14378 7463 8914 4055 6332 5889 9984 6550 13824 20109 3888 4042 7447 2876 4921 8631 8234 1167 11955 6314 19482 19198 8881 17909 14996 6868 6649 7531 27294 7701 14684 18272 3439 10760 3869 11176 30151 11646 9273 14435 17723 19985 9811 17666 12601 18090 4998 23141 11278 6813 10781 1617 20930 15206 13210 17019 27275 33909 6840 7192 6532 11238 19613 9293 25608 7154 3598 12066 9561 8646 4875 5861 8727 3617 9963 3135 16720 6640 8815 24427 6647 7429 14304 8423
1144225 51330.09 4.49 52038 42037 57768 68044 23211 88699 38642 50970 41000 45061 52342 31864 36687 64052 40395 50093 62735 55812 44145 45803 27327 65489 30270 87106 93878 50290 57125 58844 32951 79165 44330 51460 31886 86789 33259 56125 25869 31322 56702 60611 57772 36854 75572 38871 66683 63739 65964 49138 36000 37867 57577 53011 19483 47106 70079 74594 50461 43733 97075 35867 37847 49663 51825 45267 51202 13378 63355 36368 78510 77142 45673 40696 77380 68664 30991 28561 54135 48345 53859 36226 79667 50674 57977 72187 35150 62028 47530 20947 45870 66313 65632 39780 36532 53170 59802 32989 67933 40926 26679 52494
1144225 138412.00 12.10 138412
