tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
1498630 1.19 0.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0
1498630 190.95 0.01 0 0 507 332 216 0 2215 0 80 0 0 0 0 0 504 0 219 0 0 133 0 0 528 130 422 70 49 0 79 90 197 36 569 3 0 239 276 263 128 59 814 0 685 262 0 244 0 0 302 130 0 634 8 93 23 0 0 419 0 1010 159 166 497 116 161 0 222 315 143 17 378 2 179 749 34 0 0 68 1383 0 106 0 0 43 21 157 0 97 0 0 68 0 52 166 179 50 669 864 32 34
1498630 2558.54 0.17 200 2158 1231 3665 0 1740 1684 1467 19822 0 3366 468 3275 5287 2310 4727 1010 2116 4220 2238 470 4531 7658 1804 2555 709 453 1268 561 4701 1112 6333 7760 2486 2528 3005 3074 713 1307 7644 3 545 2468 3324 3442 1504 848 8101 1143 295 2275 4179 3934 1335 1193 1390 1472 739 3729 1984 503 1536 2 2492 682 4203 2608 2355 1871 0 1299 1845 763 0 6905 3907 2301 4523 3258 300 1292 8172 2758 377 346 4915 3084 1725 1708 1955 625 0 383 1285 2181 1196 6545 3429 1484 5482
1498630 17943.52 1.20 6418 19229 18982 24877 5868 11648 23806 29067 16145 6351 23976 25170 4879 4928 5695 30089 11412 42157 8586 10186 28478 28880 39494 13420 16811 18766 9749 26198 18019 14212 10035 14210 22285 17085 8877 14203 10407 19259 17099 14369 7507 17097 11352 29071 11615 25439 24984 9441 14146 13962 21828 37961 13709 8059 1694 18549 34376 25903 9815 21040 26115 1726 13653 4487 24284 24297 9756 22544 44626 9556 40737 15152 5494 14060 29478 4673 21698 25176 24061 19866 26428 2292 23998 36539 15913 29318 14590 12798 38207 24198 18825 4901 11236 10964 10156 12499 11868 33361 2173 23776
1498630 59695.36 3.98 42714 93785 104342 65166 46916 56461 74183 73623 35468 67106 72467 46740 34183 40443 46186 55988 71897 35821 63940 69021 56063 52907 61345 67345 85972 56758 72468 86684 77663 84266 41222 48455 61992 58522 24988 48526 88957 48595 40894 80912 37868 59614 41671 49749 70360 58125 111247 36928 43652 60447 51190 54619 84948 60096 82073 87897 49357 63822 99373 77303 18147 74837 46044 56536 39266 48171 57198 84629 63189 41185 50814 90846 89201 74791 67930 30729 71964 73701 86438 53580 50546 69257 36917 54808 60783 46059 30184 71051 54938 11878 37010 45451 42727 55983 48577 43817 75925 49130 76129 67847
1498630 161335.00 10.77 161335
