tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
126781 1259.90 0.99 0 5 0 0 0 0 15951 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 0 0 18441 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22545 0 0 14107 0 0 0 20400 0 0 0 0 0 0 0 0 0 0 0 20400 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14107 0 0
126781 14049.54 11.08 20400 2 2519 5 20401 0 0 75437 22127 38467 20400 34507 0 0 0 35530 31699 19608 37995 0 32866 29 20405 0 0 38322 13260 44672 6 13258 14136 3 29884 0 15808 36322 0 31 18391 0 15922 35803 54738 14107 22545 5 42947 2 1 0 19614 0 33715 1 0 22545 5 20400 2519 1 36322 0 19609 20904 0 0 18441 18385 0 14107 1 1 16626 34 0 0 13259 2 15922 40930 15922 19608 29185 0 15923 2519 22545 5 7 14138 0 0 42154 34507 29 2 20401 36177 7 15922
126781 30177.39 23.80 34 37994 36322 20400 48269 52574 22919 62556 20435 14141 27394 27396 70312 40013 49581 47002 31673 38467 29 27366 2 69692 13263 18385 44672 2519 13258 2548 56736 15927 36 42529 13294 14142 55930 15956 15779 37998 6 55095 62583 27371 42188 22580 47766 27373 13287 22545 69217 15923 22550 35388 20933 20405 35417 15957 19609 22545 13258 29181 40933 14110 51732 75818 55411 44680 47565 14107 36 53915 90567 20904 16626 31645 38472 15929 15922 35019 29 5 33716 44672 31648 22550 18470 25093 1 19615 33663 34167 1 31643 62553 32867 60539 20400 22545 42950 47594 20907
126781 61801.55 48.75 54196 35387 55044 89754 35567 38322 74315 92439 87575 70066 66152 65107 52927 57935 39201 81316 2551 60543 126744 74618 50967 22581 52044 58872 36330 86767 68025 34544 29217 71362 58486 73484 15956 2555 103828 77986 61367 38030 74645 70547 92439 74594 58423 93058 72039 38498 48298 32869 47565 87609 35042 18415 90122 73889 104622 52893 90510 22161 52049 71365 94230 20432 18415 106351 61701 107170 83806 41304 65866 62898 71367 71686 58398 22954 75843 55042 70848 47772 56663 87909 87610 76835 66182 46976 42530 65079 34508 41334 68030 40520 87908 47797 63884 72529 88698 68027 73881 88725 62590 72045
126781 92063.60 72.62 90604 110975 112674 90944 62588 107172 126778 110975 110828 103861 92272 91770 112640 110996 93123 89753 90129 94287 76351 91222 68385 96747 101717 124260 88785 107173 94289 111004 90949 92444 106376 126776 113517 89755 101683 57564 87995 126747 104236 126747 74736 34168 88752 106381 91250 56470 70347 126779 70521 94196 93064 94288 83831 83834 57967 86773 76837 87967 112645 86269 74675 90456 47005 93913 91769 54656 93907 108366 88788 50321 104235 90949 112645 101686 86266 90100 65839 72866 111004 69225 113488 110857 126780 124261 110859 92616 87605 54594 51342 74653 56442 124233 84225 88314 92469 108340 87609 90459 93886 70491
126781 126781.00 100.00 126781
