tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
440137 5965.53 1.36 3 0 0 83 0 0 0 0 0 0 0 45 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 241493 0 0 0 0 0 0 0 0 0 0 0 0 45 0 0 0 0 0 177412 0 0 0 0 0 0 0 3 0 0 0 0 0 177412 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 45 0 0
440137 49782.92 11.31 177412 0 0 3 140 177463 0 0 0 0 51 45 0 0 146 83 21016 0 6 3 20888 418905 177457 6 45 241560 0 0 6 67 0 45 0 0 0 241639 177412 3 0 0 241493 20971 0 45 0 0 0 418911 83 177412 86 0 0 0 0 0 3 0 0 83 223 177412 0 241633 241493 418994 241566 6 20971 241703 0 45 0 0 241633 83 3 0 0 0 0 241716 0 0 6 0 20888 177540 140 177412 0 20888 0 0 83 140 223 0 0 3
440137 105404.53 23.95 21031 140 20977 48 177501 67 177412 67 335 21073 241585 20888 262582 177565 3 418953 0 177412 177501 131 418905 418905 241563 177603 177540 21006 21041 159 241499 86 67 20971 177600 277 20888 6 20888 177552 198440 177415 21178 262448 191 6 21028 9 20933 0 439921 439799 21079 241493 418975 241493 20888 21098 177466 207 262588 143 3 207 177412 21140 241716 0 45 21178 241499 140 177412 0 21034 21038 67 143 177552 0 241719 20933 418981 45 150 241493 73 9 241493 140 241633 241611 6 177412 198345 6 21016 177625 198348 128 0 76
440137 216872.57 49.27 241834 21229 198434 440067 21146 198383 177412 194 159 419121 198303 439994 439946 115 241541 3 198574 419240 177533 419246 177504 419134 277 6 198376 262524 419099 198641 198552 137 419204 262569 21178 21019 419201 198309 9 262658 140 241709 439876 241576 241725 185 241633 418956 241605 198504 20958 198453 419036 439879 252 262432 241831 177600 20964 177555 241684 198498 241703 194 198450 177421 70 440045 262531 419112 419128 419096 21083 241770 241538 198529 198437 20955 418908 21016 20964 198459 439869 198300 198421 21089 262677 177616 419054 241547 198596 419093 262499 21041 198571 177610 418975 419026 198593 177747 439994 241608
440137 338191.18 76.84 262534 440137 419064 439847 21149 262502 262575 440131 21184 439997 439933 440009 198638 21232 440131 198491 440025 440131 262658 262585 439942 198596 262467 440025 440067 177527 440134 262719 439997 439994 419166 439911 440022 277 419109 177527 440092 440070 440137 440092 439981 440137 76 440131 198638 262725 241786 262725 440054 419173 262652 439914 439882 419026 262642 262677 262725 198577 440137 440131 439991 419243 419182 439914 440134 262515 177565 419246 241834 419182 198561 440134 419249 419128 440131 440086 440131 419023 419182 198577 134 440092 262671 439991 439927 440092 241751 439914 440137 440025 440054 198644 440137 419249 21114 440137 177644 198577 21223 439984
440137 440137.00 100.00 440137
