tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
902634 2950.77 0.33 0 0 0 0 0 0 0 0 0 0 4 12 0 0 0 252815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20548 0 0 0 0 0 0 0 12 0 0 0 21662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
902634 76622.90 8.49 440400 20548 187447 187733 20548 21126 187446 0 3397 1379 252815 252943 232383 254336 143 0 0 252815 20572 1114 0 4 12 0 5 23 3397 232384 0 1 0 0 12 233497 0 1118 264 578 0 232384 27 0 0 264 20583 0 3987 187446 4511 0 0 0 232383 0 20548 224453 1137 0 187446 644166 0 0 0 3397 256212 256212 578 0 23 0 1 252815 3402 4662 0 3397 187458 187446 1114 3397 232383 187446 12 0 0 235781 1383 264 1126 203905 268 0 187446 3420 842 439720 187446 252959 0 0
902634 216236.66 23.96 12 254512 20548 854 3817 233524 717 1120 842 224485 3679 412633 3401 139 981 208576 257327 253797 253079 204169 436304 25901 440839 233509 440423 3975 188560 207331 258191 204169 207903 236501 225041 188292 1526 224453 1 391759 253416 464218 443913 187446 456863 440516 4511 21395 207330 392482 189426 236359 439949 623734 644761 205158 693457 253234 273958 232400 254355 208021 188047 420255 187464 207999 998 252815 17 187446 234075 645182 1115 5 419829 673770 190843 480670 722 420947 224883 420423 190859 257458 842 20553 205023 208000 204506 5 583 204488 16 485202 192799 710078 162 212250 4511 5 1004 188025
902634 470261.69 52.10 24809 436726 440564 225711 437984 649636 205625 509304 392072 624760 625594 648298 187889 462228 187750 393335 669380 877551 676655 693484 413734 692800 713626 442361 881919 715013 669529 897939 395902 438147 715009 445534 486576 443826 628863 233117 274764 415301 225728 395174 192823 444765 209415 670230 466175 464345 233532 880384 461617 189166 254464 423226 211679 274921 421666 697310 510693 208165 191975 466306 646266 672823 441557 689966 693118 710770 710058 481923 648692 462074 461103 256517 253829 278453 693122 421379 278030 898945 644702 225473 441971 668733 420828 235785 462201 206040 666132 253538 897121 878067 489031 281 690389 192961 212384 423645 208149 486041 211427 645571
902634 690937.45 76.55 898659 902629 902611 902495 902606 902634 677323 714448 213508 690800 902214 901792 697467 275355 482778 669668 628669 899237 507622 645146 715022 646256 695305 694616 880972 442249 902047 670100 646399 902051 901381 715187 715182 229977 458712 229978 898810 902613 882053 649218 678158 881682 511265 714781 901353 690952 507747 678158 668547 649802 462361 901625 902016 209708 897972 670227 901913 882062 902365 440971 882062 713492 881232 697350 417292 698729 900915 902471 693798 413600 649792 882077 902483 670251 711762 416845 645168 649680 698725 628863 698701 901516 510991 441938 902479 479391 445910 466341 698461 899098 665600 898520 649807 901352 627574 646288 461651 697199 229147 665740
902634 902634.00 100.00 902634
