tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
1498630 148,40 0,01 0 0 0 0 0 0 0 1484 0 0
1498630 8079,00 0,54 17022 15637 863 6059 0 52 0 27729 0 13428
1498630 100498,50 6,71 57062 21143 381548 34620 107808 22708 181291 55611 103770 39424
1498630 290097,80 19,36 440894 257503 206863 250027 162430 247752 448179 402012 395021 90297
1498630 544771,80 36,35 279232 462493 618460 694365 801090 574595 508601 765433 382188 361261
1498630 963362,00 64,28 963362
