tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
7900807 41278084 0,00 0,00 0 0 0 0 0 0 0 0 0 0
7900807 41278084 1383,30 0,02 851 9262 303 144 996 32 444 61 251 1489
7900807 41278084 25861,10 0,33 6435 106 28344 5127 5447 3946 12360 1441 15315 180090
7900807 41278084 114643,40 1,45 98607 333165 49944 87814 282635 142678 35305 47270 58966 10050
7900807 41278084 462514,90 5,85 473513 568449 195421 668270 399540 525183 217313 357232 341374 878854
7900807 41278084 1388916,00 17,58 1388916 1388916 1388916 1388916 1388916 1388916 1388916 1388916 1388916 1388916
7900807 41278084 312,40 0,00 0 0 2 0 22 13 9 16 0 3062
7900807 41278084 193578,20 2,45 1073094 11339 12508 12354 65123 466198 236075 6687 28420 23984
7900807 41278084 1040836,90 13,17 1635943 309419 777441 1154995 845101 1252560 738778 393021 1397143 1903968
7900807 41278084 2832268,70 35,85 3511962 3560001 3614400 3724570 2159426 2545687 1815611 2327604 2624522 2438904
7900807 41278084 4802187,00 60,78 4789388 4203356 4010797 5255082 4846232 5503173 4007630 4674900 5132040 5599272
7900807 41278084 5885603,00 74,49 5885603 5885603 5885603 5885603 5885603 5885603 5885603 5885603 5885603 5885603
