tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
12324785 65605519 12,70 0,00 0 1 0 0 0 96 0 7 23 0
12324785 65605519 990,40 0,01 1002 265 535 405 39 2032 1671 263 357 3335
12324785 65605519 11367,30 0,09 12281 0 20192 2686 3627 28266 28125 7043 2506 8947
12324785 65605519 103944,40 0,84 73262 29551 58329 23689 176972 83580 246279 54426 94252 199104
12324785 65605519 403200,70 3,27 466462 575597 494054 600469 208705 257323 178482 148945 562236 539734
12324785 65605519 1137862,00 9,23 1137862 1137862 1137862 1137862 1137862 1137862 1137862 1137862 1137862 1137862
12324785 65605519 1283,70 0,01 0 23 0 0 12 334 0 12359 109 0
12324785 65605519 127721,40 1,04 368486 8511 8440 325587 18573 340651 135092 34454 20984 16436
12324785 65605519 1694441,10 13,75 2643924 690023 4568690 569765 402692 3684006 1202008 173239 2240618 769446
12324785 65605519 4212372,90 34,18 4700995 2311208 4998674 1643116 6350213 4941430 5838452 2644550 5123159 3571932
12324785 65605519 7441134,80 60,38 8154065 8506686 8661651 8778397 5705841 6557319 5678888 5999392 8429816 7939293
12324785 65605519 8921670,00 72,39 8921670 8921670 8921670 8921670 8921670 8921670 8921670 8921670 8921670 8921670
