tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
3288810 16587648 2,40 0,00 0 0 0 0 0 0 0 0 24 0
3288810 16587648 1535,20 0,05 5 0 363 1 12841 137 892 1104 0 9
3288810 16587648 2698,40 0,08 3306 2526 1737 517 300 1 5553 1476 8451 3117
3288810 16587648 26673,20 0,81 26742 25176 15729 26023 34514 22212 31522 42852 28291 13671
3288810 16587648 124297,00 3,78 81168 148852 155080 51748 122388 96015 139787 74388 182176 191368
3288810 16587648 363549,00 11,05 363549 363549 363549 363549 363549 363549 363549 363549 363549 363549
3288810 16587648 151,10 0,00 1228 0 0 0 0 0 0 0 283 0
3288810 16587648 102822,10 3,13 118865 52791 21306 18449 170727 11637 93529 104605 409474 26838
3288810 16587648 251754,10 7,65 233591 288610 272006 315411 209955 249254 426017 188995 150578 183124
3288810 16587648 1040603,90 31,64 960196 1193201 782088 1040435 1023814 1122929 848008 1249700 1111453 1074215
3288810 16587648 1941779,90 59,04 1985294 1776736 2126932 1805754 1989659 1822368 2019849 1682373 2054821 2154013
3288810 16587648 2301975,00 69,99 2301975 2301975 2301975 2301975 2301975 2301975 2301975 2301975 2301975 2301975
