tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
4021230 17078988 7,50 0,00 0 0 0 0 0 0 0 75 0 0
4021230 17078988 756,80 0,02 93 7176 2 3 9 149 0 0 16 120
4021230 17078988 45458,40 1,13 958 9093 3545 4648 1394 414508 668 8491 1066 10213
4021230 17078988 115342,10 2,87 29381 43258 100227 66894 733656 56014 26845 55457 20185 21504
4021230 17078988 448177,50 11,15 559704 351865 745542 132875 207696 580402 561464 419490 726157 196580
4021230 17078988 1406834,00 34,99 1406834 1406834 1406834 1406834 1406834 1406834 1406834 1406834 1406834 1406834
4021230 17078988 8468,50 0,21 0 0 0 0 0 195 68 84412 0 10
4021230 17078988 39918,20 0,99 33066 137829 71868 6906 4441 25381 29753 46357 6814 36767
4021230 17078988 354418,50 8,81 244582 309866 255392 582047 95360 300171 388720 897802 220857 249388
4021230 17078988 1337687,60 33,27 1259627 1424205 1072027 1271159 1468789 1836235 1123267 1751941 842559 1327067
4021230 17078988 2046563,90 50,89 2126505 1670878 1795348 2534500 1760938 2314734 2119539 1939356 2013533 2190308
4021230 17078988 2181739,00 54,26 2181739 2181739 2181739 2181739 2181739 2181739 2181739 2181739 2181739 2181739
