tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
7004462 14004684 3,70 0,00 0 0 2 0 15 0 0 20 0 0
7004462 14004684 42800,30 0,61 47127 147398 184523 16714 0 17260 4179 34 6601 4167
7004462 14004684 224879,00 3,21 355967 78650 14093 47069 38328 150509 139396 1041718 191550 191510
7004462 14004684 1526772,50 21,80 2330152 2012958 1433249 1425158 1506769 778346 1138581 602121 2626189 1414202
7004462 14004684 3332256,00 47,57 3668613 4192149 2869610 2364991 3783253 3509881 2819191 3895053 3341673 2878146
7004462 14004684 5534333,00 79,01 5534333 5534333 5534333 5534333 5534333 5534333 5534333 5534333 5534333 5534333
