tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
4778407 22650665 0,00 0,00 0 0 0 0 0 0 0 0 0 0
4778407 22650665 1431,40 0,03 0 162 0 388 4 865 1257 0 936 10702
4778407 22650665 8962,70 0,19 0 1592 14596 27400 849 4740 20366 14390 2150 3544
4778407 22650665 116838,70 2,45 74110 103827 74805 249037 298338 20526 59460 101879 70398 116007
4778407 22650665 273652,00 5,73 155486 363796 392871 317380 120578 396156 83843 119005 522070 265335
4778407 22650665 889495,00 18,61 889495 889495 889495 889495 889495 889495 889495 889495 889495 889495
4778407 22650665 114,40 0,00 0 945 50 0 0 0 144 0 5 0
4778407 22650665 41199,20 0,86 7050 6813 1618 121335 31726 118886 21450 18541 26877 57696
4778407 22650665 479866,20 10,04 141241 589287 288873 532482 118479 235834 930841 1144668 410748 406209
4778407 22650665 1685770,50 35,28 1004455 1683426 1553138 1903745 1768388 1228474 1385266 2017354 1929537 2383922
4778407 22650665 2330295,70 48,77 2361849 1899624 2667972 2167011 2154247 2878048 2094487 2115151 2730080 2234488
4778407 22650665 2991662,00 62,61 2991662 2991662 2991662 2991662 2991662 2991662 2991662 2991662 2991662 2991662
