tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
3371273 15159102 78,90 0,00 0 0 0 0 112 677 0 0 0 0
3371273 15159102 8629,20 0,26 0 0 76317 21 0 26 7859 0 0 2069
3371273 15159102 9821,30 0,29 255 1436 84611 4473 0 0 413 6985 8 32
3371273 15159102 49474,30 1,47 5387 3665 23337 163327 84890 33843 90153 31615 20833 37693
3371273 15159102 251200,60 7,45 184335 179454 248599 465334 364943 55214 481532 106584 108344 317667
3371273 15159102 599110,00 17,77 599110 599110 599110 599110 599110 599110 599110 599110 599110 599110
3371273 15159102 2628,20 0,08 66 0 2 2 26212 0 0 0 0 0
3371273 15159102 61033,40 1,81 3360 2033 384041 5341 5294 1011 139592 8124 27599 33939
3371273 15159102 242072,50 7,18 173835 437099 558461 284650 61947 38970 92766 658249 52617 62131
3371273 15159102 998495,20 29,62 916875 785486 679163 1325469 1902107 467003 1507580 807678 935064 658527
3371273 15159102 1711045,20 50,75 2124096 1576713 1612328 2182191 1993795 1480808 2084134 1174328 1460116 1421943
3371273 15159102 2207053,00 65,47 2207053 2207053 2207053 2207053 2207053 2207053 2207053 2207053 2207053 2207053
