tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
977813 4818149 0,00 0,00 0 0 0 0 0 0 0 0 0 0
977813 4818149 45,40 0,00 191 0 0 98 0 56 108 0 0 1
977813 4818149 1907,80 0,20 317 2103 413 0 13955 0 1020 528 742 0
977813 4818149 17175,20 1,76 7459 7540 19549 16261 38743 16612 10909 20624 28791 5264
977813 4818149 36817,90 3,77 30344 59219 45350 31795 10550 47546 46297 27104 20377 49597
977813 4818149 149009,00 15,24 149009 149009 149009 149009 149009 149009 149009 149009 149009 149009
977813 4818149 122,10 0,01 128 0 0 0 1084 9 0 0 0 0
977813 4818149 13136,90 1,34 1682 1403 2900 20016 1601 38509 21678 14164 15740 13676
977813 4818149 120261,30 12,30 67655 136000 179171 25771 259388 92074 88385 87677 94041 172451
977813 4818149 462449,10 47,29 322900 182396 595400 591372 497709 597582 245844 577256 667179 346853
977813 4818149 599775,60 61,34 474662 635075 677069 517179 511663 686256 687035 458384 584583 765850
977813 4818149 793520,00 81,15 793520 793520 793520 793520 793520 793520 793520 793520 793520 793520
