tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
3219512 15315454 0,00 0,00 0 0 0 0 0 0 0 0 0 0
3219512 15315454 320,90 0,01 19 54 0 336 8 0 1 174 1600 1017
3219512 15315454 12914,60 0,40 3527 6202 948 183 50280 475 1880 6571 10998 48082
3219512 15315454 79574,90 2,47 38351 95853 36459 76585 37654 69313 17993 132409 96846 194286
3219512 15315454 247191,80 7,68 317453 239744 139460 84725 373129 171082 328814 327566 280321 209624
3219512 15315454 560263,00 17,40 560263 560263 560263 560263 560263 560263 560263 560263 560263 560263
3219512 15315454 11,00 0,00 0 0 0 43 0 3 0 0 64 0
3219512 15315454 26092,60 0,81 21439 15742 3855 17882 3867 21110 23219 49064 89434 15314
3219512 15315454 282065,30 8,76 134612 200595 257755 97245 216994 28546 574049 339848 581239 389770
3219512 15315454 988673,50 30,71 441838 630356 1292551 635267 950892 1067463 386888 1413911 1507432 1560137
3219512 15315454 1805877,40 56,09 1665066 2014285 2019955 1241682 1931423 1738293 1852744 1940582 1765804 1888940
3219512 15315454 2140235,00 66,48 2140235 2140235 2140235 2140235 2140235 2140235 2140235 2140235 2140235 2140235
