tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
12324785 24649219 3,30 0,00 0 0 0 0 0 0 0 0 33 0
12324785 24649219 40935,10 0,33 88755 35 0 2 0 0 127066 12268 151115 30110
12324785 24649219 427364,60 3,47 18687 675377 538161 612495 408930 9852 5594 9441 1787459 207650
12324785 24649219 965621,80 7,83 674652 835109 1039100 1836203 541898 652160 2797506 56910 285366 937314
12324785 24649219 2903846,70 23,56 4200550 3550957 868999 3693165 5018159 3487163 3030847 984501 2371655 1832471
12324785 24649219 6174581,00 50,10 6174581 6174581 6174581 6174581 6174581 6174581 6174581 6174581 6174581 6174581
