tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
12324785 12324785 121710,50 0,99 0 0 33 809578 0 407494 0 0 0 0
12324785 12324785 1180374,40 9,58 519393 1802822 3891440 0 1515396 0 3771844 287428 15388 33
12324785 12324785 2409173,90 19,55 4258995 119629 559166 7906855 3554133 15116 973240 4208492 490208 2005905
12324785 12324785 5547535,10 45,01 4627130 3501596 5850381 6765933 1934559 5364141 5852116 8643789 6279674 6656032
12324785 12324785 9496133,80 77,05 10470687 5867473 9940783 10455255 9147266 10768943 9445621 8640369 9465651 10759290
12324785 12324785 11046720,00 89,63 11046720 11046720 11046720 11046720 11046720 11046720 11046720 11046720 11046720 11046720
