tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
1820852 8881540 0,00 0,00 0 0 0 0 0 0 0 0 0 0
1820852 8881540 30,80 0,00 0 138 0 0 0 0 0 0 0 170
1820852 8881540 1919,20 0,11 175 551 11291 5063 757 43 908 0 367 37
1820852 8881540 40102,30 2,20 86113 40673 37049 104130 45299 2870 11160 6990 6112 60627
1820852 8881540 96112,10 5,28 198184 143686 33496 79741 98075 24591 146612 53267 20682 162787
1820852 8881540 309755,00 17,01 309755 309755 309755 309755 309755 309755 309755 309755 309755 309755
1820852 8881540 1,70 0,00 0 17 0 0 0 0 0 0 0 0
1820852 8881540 5498,90 0,30 3296 2452 8659 3441 3192 3155 21213 534 5785 3262
1820852 8881540 179513,70 9,86 80570 54013 652021 243479 191543 15518 76061 24669 189930 267333
1820852 8881540 750410,10 41,21 1042158 615494 598466 1469839 960447 491786 407057 357009 364088 1197757
1820852 8881540 1115609,70 61,27 1332183 1324153 883458 1032378 1190918 923049 1178243 1109236 883644 1298835
1820852 8881540 1368661,00 75,17 1368661 1368661 1368661 1368661 1368661 1368661 1368661 1368661 1368661 1368661
