tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
590750 590750 0,00 0,00 0 0 0 0 0 0 0 0 0 0
590750 590750 105788,60 17,91 0 0 590750 0 233568 0 0 233568 0 0
590750 590750 35718,20 6,05 0 0 0 0 0 0 0 0 357182 0
590750 590750 365445,40 61,86 233568 233568 590750 590750 233568 590750 590750 233568 357182 0
590750 590750 484961,40 82,09 357182 590750 357182 233568 590750 590750 590750 590750 590750 357182
590750 590750 590750,00 100,00 590750 590750 590750 590750 590750 590750 590750 590750 590750 590750
