tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
2711758 13784219 42,50 0,00 0 0 0 0 425 0 0 0 0 0
2711758 13784219 143,30 0,01 0 212 0 0 286 0 544 0 90 301
2711758 13784219 4754,80 0,18 1549 2475 0 7192 6497 646 9263 1 3899 16026
2711758 13784219 36827,40 1,36 70182 24131 17308 64612 24499 65109 49557 23783 13114 15979
2711758 13784219 104028,70 3,84 59290 115218 125806 68864 123343 171709 89257 65490 86074 135236
2711758 13784219 310806,00 11,46 310806 310806 310806 310806 310806 310806 310806 310806 310806 310806
2711758 13784219 166,30 0,01 0 97 0 0 1424 81 55 0 3 3
2711758 13784219 30708,80 1,13 18962 50738 125621 2265 44493 13832 3123 9643 5800 32611
2711758 13784219 352851,50 13,01 466852 247470 167252 360331 357855 316636 283444 76857 176282 1075536
2711758 13784219 770402,90 28,41 1259199 608079 303256 1274784 608057 761167 641041 568942 855042 824462
2711758 13784219 1571480,90 57,95 1021123 1732509 1569705 1584191 1666619 1706932 1678906 1596413 1416401 1742010
2711758 13784219 1930452,00 71,19 1930452 1930452 1930452 1930452 1930452 1930452 1930452 1930452 1930452 1930452
