tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
3288810 6577054 1,70 0,00 0 0 0 0 17 0 0 0 0 0
3288810 6577054 19563,00 0,59 0 8938 4870 105909 1 12507 23690 34444 0 5271
3288810 6577054 155664,50 4,73 22315 218815 138339 5179 293961 112480 207653 59778 66768 431357
3288810 6577054 660099,70 20,07 729087 645833 1101444 592117 812844 581514 713000 189893 249033 986232
3288810 6577054 1152826,40 35,05 1750968 832819 1442011 492569 881796 1549706 1459950 1656111 686634 775700
3288810 6577054 2266088,00 68,90 2266088 2266088 2266088 2266088 2266088 2266088 2266088 2266088 2266088 2266088
