tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
3350961 14692315 6,10 0,00 0 5 40 0 0 0 16 0 0 0
3350961 14692315 1170,30 0,03 3959 59 0 0 2698 4891 91 5 0 0
3350961 14692315 24778,00 0,74 176662 7703 23624 28411 5448 2670 2395 3 863 1
3350961 14692315 111069,20 3,31 218391 181961 94740 30584 46145 67103 53057 193916 203858 20937
3350961 14692315 339774,10 10,14 392467 123071 349134 450832 211945 168229 136062 500454 521558 543989
3350961 14692315 727583,00 21,71 727583 727583 727583 727583 727583 727583 727583 727583 727583 727583
3350961 14692315 43,50 0,00 5 0 324 0 0 0 102 4 0 0
3350961 14692315 139081,10 4,15 27622 27626 177870 11072 184272 382291 103449 228661 242399 5549
3350961 14692315 262664,50 7,84 409609 80696 695871 727316 106603 93783 308652 75883 69169 59063
3350961 14692315 967012,30 28,86 1013598 611679 1164580 636419 759769 1337300 1101355 1234585 1187298 623540
3350961 14692315 1863169,80 55,60 1768442 1457349 1544767 2264958 1824664 1983828 1343167 1972136 2201585 2270802
3350961 14692315 2279881,00 68,04 2279881 2279881 2279881 2279881 2279881 2279881 2279881 2279881 2279881 2279881
