tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
3371273 6741789 67,70 0,00 0 677 0 0 0 0 0 0 0 0
3371273 6741789 45086,70 1,34 203575 0 35856 0 79 0 406 0 199454 11497
3371273 6741789 276278,90 8,20 10 56259 25236 610813 34221 325584 1128242 73798 279069 229557
3371273 6741789 731822,40 21,71 22742 436008 770575 664578 517246 723244 498100 871025 1472447 1342259
3371273 6741789 1823667,00 54,09 1690113 2111896 2028091 1803015 820825 1963218 1018963 2331480 2063414 2405655
3371273 6741789 2646682,00 78,51 2646682 2646682 2646682 2646682 2646682 2646682 2646682 2646682 2646682 2646682
