tot_updates tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
7004462 33147568 0,00 0,00 0 0 0 0 0 0 0 0 0 0
7004462 33147568 7462,80 0,11 2361 49 4167 4218 57237 132 3132 1667 1650 15
7004462 33147568 21275,50 0,30 13527 27329 22295 55859 14402 12500 19157 6818 17899 22969
7004462 33147568 143600,40 2,05 182640 87445 107716 179115 187265 27695 137839 254336 82281 189672
7004462 33147568 442059,20 6,31 504783 600055 477294 477021 435065 294764 386516 231872 475502 537720
7004462 33147568 1142885,00 16,32 1142885 1142885 1142885 1142885 1142885 1142885 1142885 1142885 1142885 1142885
7004462 33147568 11,90 0,00 43 0 8 3 0 0 0 23 1 41
7004462 33147568 89708,80 1,28 231470 48764 11502 142996 32837 73060 165291 38146 141906 11116
7004462 33147568 982598,90 14,03 1262559 796066 1331655 1180377 1155996 392525 1141849 616527 568133 1380302
7004462 33147568 2417072,70 34,51 3046084 975286 2286108 2858924 1888849 964717 3202867 3136800 2634258 3176834
7004462 33147568 4008567,60 57,23 4197831 4358365 3576310 4513160 4256536 3166766 4030577 2977669 4171633 4836829
7004462 33147568 4890260,00 69,82 4890260 4890260 4890260 4890260 4890260 4890260 4890260 4890260 4890260 4890260
