TotPrefixes;Mean%;Median%;StandardDeviation%;MinValue;MaxValue;MeanRaw;MedianRaw;SDRaw;MinValueRaw;MaxValueRaw
3211712;0.53;0.00;1.61;0.00;6.16;16955.52;0.00;51676.27;0.00;197704.00
3211712;4.14;4.39;4.46;0.00;15.44;132964.74;140916.00;143290.04;0.00;495969.00
3211712;12.23;11.41;7.44;0.00;27.67;392785.33;366429.50;238815.18;0.00;888589.00
3211712;23.44;23.35;8.23;0.04;41.33;752774.25;750066.00;264309.97;1421.00;1327245.00
3211712;34.33;34.98;6.83;14.33;46.66;1102724.08;1123556.00;219312.61;460274.00;1498580.00
3211712;46.66;46.66;0.00;46.66;46.66;1498598.00;1498598.00;0.00;1498598.00;1498598.00
