TotPrefixes;Mean%;Median%;StandardDeviation%;MinValue;MaxValue;MeanRaw;MedianRaw;SDRaw;MinValueRaw;MaxValueRaw
2109935;0.00;0.00;0.01;0.00;0.11;35.42;0.00;235.85;0.00;2317.00
2109935;0.62;0.11;1.23;0.00;5.59;13098.59;2220.50;26048.01;0.00;117841.00
2109935;4.47;3.38;4.53;0.05;22.46;94366.11;71277.00;95548.16;1147.00;473989.00
2109935;18.41;17.90;10.08;1.14;53.67;388534.43;377759.00;212741.12;24000.00;1132503.00
2109935;40.31;41.45;11.75;8.80;63.93;850589.11;874582.00;247845.51;185661.00;1348818.00
2109935;70.79;70.79;0.00;70.79;70.79;1493724.00;1493724.00;0.00;1493724.00;1493724.00
