TotPrefixes;Mean%;Median%;StandardDeviation%;MinValue;MaxValue;MeanRaw;MedianRaw;SDRaw;MinValueRaw;MaxValueRaw
576562;0.00;0.00;0.02;0.00;0.19;15.95;0.00;117.88;0.00;1101.00
576562;0.55;0.00;1.47;0.00;7.90;3154.21;11.50;8457.36;0.00;45569.00
576562;2.62;1.00;4.08;0.00;24.64;15125.95;5787.50;23497.90;0.00;142090.00
576562;14.21;11.47;12.15;0.13;49.84;81937.10;66107.00;70035.47;743.00;287352.00
576562;31.13;30.31;15.13;0.99;53.98;179498.11;174744.00;87239.75;5724.00;311256.00
576562;55.77;55.77;0.00;55.77;55.77;321527.00;321527.00;0.00;321527.00;321527.00
