TotPrefixes;Mean%;Median%;StandardDeviation%;MinValue;MaxValue;MeanRaw;MedianRaw;SDRaw;MinValueRaw;MaxValueRaw
1498630;1.16;0.00;3.57;0.00;16.33;17326.33;0.00;53510.36;0.00;244777.00
1498630;7.82;5.61;9.56;0.00;45.87;117160.01;84016.00;143282.02;0.00;687465.00
1498630;24.22;25.76;14.74;0.00;60.06;362901.73;386109.50;220849.40;0.00;900121.00
1498630;51.48;51.25;16.39;8.79;93.59;771506.30;768079.50;245653.82;131725.00;1402621.00
1498630;74.69;76.35;14.09;44.25;100.00;1119382.79;1144266.00;211179.48;663075.00;1498630.00
1498630;100.00;100.00;0.00;100.00;100.00;1498630.00;1498630.00;0.00;1498630.00;1498630.00
