TotPrefixes;Mean%;Median%;StandardDeviation%;MinValue;MaxValue;MeanRaw;MedianRaw;SDRaw;MinValueRaw;MaxValueRaw
1667219;0.00;0.00;0.00;0.00;0.01;2.83;0.00;19.81;0.00;177.00
1667219;0.02;0.01;0.04;0.00;0.29;329.75;133.00;729.69;0.00;4775.00
1667219;0.15;0.10;0.16;0.00;0.76;2564.64;1614.50;2723.54;0.00;12607.00
1667219;1.12;0.86;0.79;0.13;3.18;18736.66;14374.00;13228.25;2247.00;53008.00
1667219;4.39;4.10;1.73;1.31;8.30;73119.78;68362.00;28902.41;21799.00;138367.00
1667219;12.35;12.35;0.00;12.35;12.35;205848.00;205848.00;0.00;205848.00;205848.00
