TotPrefixes;Mean%;Median%;StandardDeviation%;MinValue;MaxValue;MeanRaw;MedianRaw;SDRaw;MinValueRaw;MaxValueRaw
1155696;0.00;0.00;0.00;0.00;0.00;0.42;0.00;2.27;0.00;22.00
1155696;0.02;0.00;0.04;0.00;0.17;236.14;32.00;422.62;0.00;1918.00
1155696;0.16;0.12;0.17;0.00;1.08;1875.39;1358.00;2005.50;9.00;12502.00
1155696;1.38;1.17;0.91;0.04;4.37;15967.30;13554.00;10544.85;463.00;50469.00
1155696;4.60;4.42;1.59;1.23;8.46;53204.67;51075.50;18367.52;14232.00;97734.00
1155696;12.46;12.46;0.00;12.46;12.46;144021.00;144021.00;0.00;144021.00;144021.00
