TotPrefixes;Mean%;Median%;StandardDeviation%;MinValue;MaxValue;MeanRaw;MedianRaw;SDRaw;MinValueRaw;MaxValueRaw
1144225;1.12;0.00;4.59;0.00;29.01;12849.12;0.00;52565.60;0.00;331991.00
1144225;7.98;1.99;9.65;0.00;41.23;91279.28;22770.00;110361.97;0.00;471779.00
1144225;24.39;23.85;16.78;0.00;74.89;279132.72;272859.00;192053.33;8.00;856864.00
1144225;49.82;47.63;20.12;0.93;89.16;570028.44;545003.00;230262.05;10656.00;1020205.00
1144225;75.47;77.58;17.19;26.52;100.00;863538.59;887667.50;196716.54;303437.00;1144194.00
1144225;100.00;100.00;0.00;100.00;100.00;1144225.00;1144225.00;0.00;1144225.00;1144225.00
