TotPrefixes;Mean%;Median%;StandardDeviation%;MinValue;MaxValue;MeanRaw;MedianRaw;SDRaw;MinValueRaw;MaxValueRaw
2185501;0.00;0.00;0.00;0.00;0.01;2.62;0.00;15.16;0.00;115.00
2185501;0.61;0.01;3.20;0.00;31.18;13226.23;132.50;69850.20;0.00;681532.00
2185501;5.12;1.14;9.18;0.00;38.22;111883.96;24831.00;200605.35;0.00;835223.00
2185501;19.90;9.33;18.99;0.03;62.81;434902.48;203832.00;415105.71;614.00;1372787.00
2185501;41.52;48.61;20.26;3.50;71.99;907318.86;1062328.00;442842.17;76596.00;1573309.00
2185501;73.69;73.69;0.00;73.69;73.69;1610529.00;1610529.00;0.00;1610529.00;1610529.00
