TotPrefixes;Mean%;Median%;StandardDeviation%;MinValue;MaxValue;MeanRaw;MedianRaw;SDRaw;MinValueRaw;MaxValueRaw
2133931;0.00;0.00;0.00;0.00;0.00;1.78;0.00;10.34;0.00;76.00
2133931;0.09;0.00;0.38;0.00;1.75;1986.18;8.50;8037.96;0.00;37265.00
2133931;0.33;0.04;0.66;0.00;3.49;6939.78;850.50;14169.21;0.00;74387.00
2133931;1.91;1.48;1.90;0.00;7.68;40708.42;31517.00;40621.80;12.00;163903.00
2133931;7.40;7.47;3.49;0.15;15.04;157842.95;159386.50;74442.76;3190.00;320877.00
2133931;18.99;18.99;0.00;18.99;18.99;405256.00;405256.00;0.00;405256.00;405256.00
