TotPrefixes;Mean%;Median%;StandardDeviation%;MinValue;MaxValue;MeanRaw;MedianRaw;SDRaw;MinValueRaw;MaxValueRaw
4344049;1.05;0.00;3.70;0.00;17.06;45781.36;0.00;160571.09;0.00;741186.00
4344049;9.18;4.75;10.20;0.00;36.82;398715.21;206455.50;443226.10;0.00;1599466.00
4344049;26.20;24.54;16.03;0.01;72.09;1138112.06;1066160.00;696286.87;291.00;3131586.00
4344049;47.07;49.36;18.69;4.82;88.58;2044825.71;2144108.00;811933.98;209380.00;3847765.00
4344049;76.27;77.43;13.57;34.87;100.00;3313359.46;3363719.50;589406.02;1514769.00;4344037.00
4344049;100.00;100.00;0.00;100.00;100.00;4344049.00;4344049.00;0.00;4344049.00;4344049.00
