TotPrefixes;Mean%;Median%;StandardDeviation%;MinValue;MaxValue;MeanRaw;MedianRaw;SDRaw;MinValueRaw;MaxValueRaw
3219512;0.76;0.00;2.98;0.00;18.33;24346.04;0.00;96085.71;0.00;589994.00
3219512;9.69;3.53;11.20;0.00;52.08;311999.88;113654.50;360511.73;0.00;1676803.00
3219512;23.70;23.44;15.03;0.00;60.86;763030.15;754546.00;483948.44;6.00;1959304.00
3219512;49.65;51.80;16.69;15.17;88.65;1598601.80;1667802.00;537284.48;488285.00;2854184.00
3219512;75.74;76.62;14.55;32.45;100.00;2438402.54;2466918.50;468430.14;1044650.00;3219496.00
3219512;100.00;100.00;0.00;100.00;100.00;3219512.00;3219512.00;0.00;3219512.00;3219512.00
