TotPrefixes;Mean%;Median%;StandardDeviation%;MinValue;MaxValue;MeanRaw;MedianRaw;SDRaw;MinValueRaw;MaxValueRaw
3219512;0.00;0.00;0.00;0.00;0.01;8.79;0.00;57.95;0.00;431.00
3219512;0.01;0.00;0.03;0.00;0.22;460.84;50.00;989.22;0.00;7005.00
3219512;0.35;0.09;0.75;0.00;5.02;11268.10;2987.00;24159.46;1.00;161616.00
3219512;1.93;1.27;1.84;0.17;10.18;62024.80;40772.50;59111.32;5500.00;327833.00
3219512;6.71;6.14;3.18;1.33;13.38;216001.44;197804.00;102361.11;42814.00;430788.00
3219512;17.40;17.40;0.00;17.40;17.40;560263.00;560263.00;0.00;560263.00;560263.00
