TotPrefixes;Mean%;Median%;StandardDeviation%;MinValue;MaxValue;MeanRaw;MedianRaw;SDRaw;MinValueRaw;MaxValueRaw
1820852;0.26;0.00;1.51;0.00;12.03;4722.99;0.00;27576.01;0.00;219054.00
1820852;12.02;2.15;15.82;0.00;48.52;218859.14;39169.50;288142.38;0.00;883533.00
1820852;24.57;23.32;18.70;0.00;78.25;447457.79;424660.50;340498.06;0.00;1424762.00
1820852;49.02;49.11;26.66;0.85;98.70;892502.39;894154.00;485399.14;15472.00;1797229.00
1820852;73.17;78.18;25.47;11.34;100.00;1332349.25;1423549.50;463713.22;206508.00;1820852.00
1820852;100.00;100.00;0.00;100.00;100.00;1820852.00;1820852.00;0.00;1820852.00;1820852.00
