TotPrefixes;Mean%;Median%;StandardDeviation%;MinValue;MaxValue;MeanRaw;MedianRaw;SDRaw;MinValueRaw;MaxValueRaw
12324785;0.68;0.00;2.54;0.00;21.43;83644.03;0.00;312496.19;0.00;2641012.00
12324785;7.56;3.28;10.64;0.00;41.47;931818.58;403868.00;1311747.58;0.00;5111293.00
12324785;21.47;18.39;15.32;1.21;65.83;2645759.54;2266292.50;1887542.52;148579.00;8113516.00
12324785;44.69;46.66;18.76;5.31;80.37;5507378.51;5750501.50;2312030.01;653901.00;9905318.00
12324785;66.46;73.64;17.87;23.54;89.63;8190838.02;9076463.50;2202356.28;2901765.00;11046720.00
12324785;89.63;89.63;0.00;89.63;89.63;11046720.00;11046720.00;0.00;11046720.00;11046720.00
