TotPrefixes;Mean%;Median%;StandardDeviation%;MinValue;MaxValue;MeanRaw;MedianRaw;SDRaw;MinValueRaw;MaxValueRaw
4021230;0.00;0.00;0.00;0.00;0.02;14.55;0.00;92.13;0.00;871.00
4021230;0.75;0.06;1.72;0.00;12.59;30111.79;2382.00;69207.73;0.00;506090.00
4021230;4.76;3.05;5.17;0.00;25.41;191266.40;122762.50;207808.57;36.00;1021959.00
4021230;18.29;17.56;11.37;1.24;47.69;735593.38;706309.50;457281.36;49755.00;1917840.00
4021230;43.62;42.69;12.91;11.06;75.83;1754042.35;1716576.50;519298.45;444699.00;3049395.00
4021230;81.68;81.68;0.00;81.68;81.68;3284416.00;3284416.00;0.00;3284416.00;3284416.00
