TotPrefixes;Mean%;Median%;StandardDeviation%;MinValue;MaxValue;MeanRaw;MedianRaw;SDRaw;MinValueRaw;MaxValueRaw
3371273;0.00;0.00;0.00;0.00;0.00;0.93;0.00;5.47;0.00;39.00
3371273;0.02;0.00;0.04;0.00;0.18;696.02;88.50;1209.99;0.00;6147.00
3371273;0.40;0.16;0.76;0.00;4.35;13438.00;5422.00;25641.64;0.00;146698.00
3371273;2.42;1.80;2.03;0.01;8.78;81542.05;60765.00;68338.76;498.00;296119.00
3371273;6.56;5.78;3.02;1.97;13.27;221168.61;194920.00;101665.62;66475.00;447424.00
3371273;17.77;17.77;0.00;17.77;17.77;599110.00;599110.00;0.00;599110.00;599110.00
