tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
1667219 34263,30 2,06 0 134 0 144856 0 0 0 0 197643 0
1667219 161909,80 9,71 0 153010 119298 177690 195286 0 135122 283399 166859 388434
1667219 357029,80 21,41 491782 422370 399282 342995 556856 383180 52 458070 13901 501810
1667219 820031,70 49,19 839604 1099356 385152 1201134 877390 275402 1017182 1043896 823843 637358
1667219 1270688,50 76,22 1196525 1254088 1109037 1373565 1331781 1152627 1455727 1519029 1235109 1079397
1667219 1667219,00 100,00 1667219
