tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
2185501 598,20 0,03 5982 0 0 0 0 0 0 0 0 0
2185501 156067,10 7,14 297484 27045 165727 942886 2 402 16 15 106431 20663
2185501 407442,30 18,64 1147745 10041 287984 192949 1636049 308519 6460 341727 122276 20673
2185501 864012,00 39,53 1450338 196519 1319627 1142575 318442 1139143 332358 1132845 1334965 273308
2185501 1493018,30 68,31 1906648 1031450 1862404 1974466 1948162 1852906 611196 827061 1867146 1048744
2185501 2081521,00 95,24 2081521
