tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
7520597 22.88 0.00 0 0 0 0 0 0 0 0 330 0 0 0 10 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 241 0 0 0 0 0 0 0 318 0 0 0 1360 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
7520597 1530.85 0.02 4437 5028 2217 1264 559 7 1453 0 5024 3607 2636 2460 1999 7491 0 0 2198 222 595 1228 5737 2169 116 4914 250 782 1120 661 2409 386 1646 746 463 0 0 0 335 0 162 7 1371 332 0 453 0 0 297 912 14 135 3003 2953 3913 111 0 628 5074 7779 2199 646 13754 1150 19 0 2290 1268 1819 646 745 2807 1838 8881 183 113 92 1097 0 2436 22 210 0 0 2716 17 158 1 0 145 5053 0 841 1953 0 1763 21 497 0 1443 0 4959
7520597 20754.41 0.28 687 5930 13455 7974 14665 12568 12164 8831 9355 12868 19458 74808 115048 27451 5106 23327 19152 25444 12174 8096 11373 7908 22324 9242 25437 18671 107728 5644 1320 23057 11538 22987 15453 7562 34900 15965 38896 40418 13477 3372 13615 33546 21072 21886 15059 32439 4480 16645 24780 48707 12177 17103 9796 8037 11941 46973 21535 14385 15562 17295 42399 13572 15925 10847 11091 25329 3496 0 22628 12395 66441 17064 16676 14131 75155 5190 8751 20527 10866 281 10834 103443 73737 3683 12715 25794 57710 14277 6680 8722 4499 6239 15634 19982 11009 2920 932 3262 12975 14764
7520597 120999.37 1.61 33890 30291 36992 106337 199310 165441 89598 72332 48307 115864 169113 45694 188881 110954 114010 44841 114158 132549 78387 55273 193072 99841 247503 398121 61019 152587 66278 245767 89262 298347 129302 127325 53800 31400 327372 89780 65252 208420 101952 125767 132950 91752 98905 121394 171021 162426 81758 131977 66560 78052 75369 78282 47218 152413 67421 162583 96803 47531 60071 84951 155703 150310 39750 110990 246749 170273 77927 209041 147889 115349 84932 41768 91334 157107 25443 84933 119090 197934 82539 163355 116701 18256 75317 87751 226254 73242 328228 156960 95836 117590 112925 118720 61651 129972 131817 107621 176420 115698 234691 68045
7520597 463707.64 6.17 153380 311328 568693 405395 421440 449160 319606 424264 334442 316211 273255 581052 458939 495726 332482 452585 322855 585254 473957 394603 278707 498852 389383 264715 326957 458840 598239 589814 503067 591390 490525 503014 597868 824428 476391 417997 229261 431011 440623 570834 501315 595419 604165 343344 423356 442887 456460 412736 429607 480399 539775 549980 605048 621292 407431 615449 337385 418676 683563 445798 358516 513065 762437 355445 166364 194251 362954 400866 530747 228365 706876 461794 627901 574551 400685 393405 627290 278120 352907 366833 280073 649368 450801 435221 564115 330817 278474 692676 611971 299884 683013 590824 556334 619416 463046 686696 515491 512802 649732 366010
7520597 1282017.00 17.05 1282017
