tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
278400 1.40 0.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 108 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
278400 51.97 0.02 0 0 108 0 0 0 114 108 0 0 0 0 0 0 0 0 0 0 0 0 0 0 188 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 399 0 0 0 0 108 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 3229 0 0 0 108 114 0 0 0 0 228 63 0 0 0 199 0 0 108 0 0 0 0 0 0 0 0 0 0 108 0 0 0 0 0 0 0 0
278400 14684.65 5.27 0 0 29178 189 0 114 0 116 0 0 0 0 194 0 109 0 0 108 0 0 74855 0 115 3507 122987 0 108 0 0 188 0 109 3475 0 0 3631 0 0 108 170793 0 48157 0 116 536 108 131 0 196 196 0 194 0 0 108 0 109 0 196544 119822 120641 0 108 29090 0 116 190 0 0 0 0 0 0 0 0 0 108 0 0 170540 50295 109 0 0 146813 0 0 0 0 51155 0 119728 0 0 3270 0 201 0 0 0
278400 45913.81 16.49 196 109 27448 0 119820 0 0 0 881 194 0 169952 197 78356 50522 194 49088 75205 191 196583 191 0 0 194 116 109 0 171696 50634 27408 29613 197 122407 168999 189 126227 0 109 189 0 194515 0 0 1438 28262 191 0 190 123357 149993 0 120776 0 51530 170875 149798 197 0 0 0 172945 151081 6599 171091 168863 32829 0 109 0 0 77118 196 190 0 0 195 0 0 116 194798 0 33699 0 81146 0 123432 0 78408 200164 75328 110 191 150216 152359 188 50504 54047 152235 4694 194
278400 119434.56 42.90 201137 171303 197935 152571 201041 33030 191 191 125443 150246 27752 201093 197994 0 201326 197 171438 197860 152647 170285 80735 200983 126543 31121 201255 76263 190 191 150161 197707 200952 81609 171359 78542 195 201227 200002 201138 81486 126332 200394 169943 174064 174258 153228 197977 152595 117 79650 149962 196 200197 152578 0 200195 77689 33754 200823 153331 197812 191 197 195 191 54724 197 54946 153726 200162 174308 172280 0 195923 126549 150465 200243 197986 197955 153066 201199 197 52573 201025 117 114 111 199321 201358 80960 48432 198251 152497 170340 170959 123206 201134 198888 197 78644 195
278400 201478.00 72.37 201478
