tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
3219512 12.85 0.00 7 89 0 0 0 0 0 48 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 108 0 0 0 104 0 0 0 0 0 0 0 0 0 0 299 0 0 175 17 0 0 0 0 0 0 4 0 0 0 0 0 0 0 101 17 0 0 0 0 0 0 0 0 0 7 0 274 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0 0
3219512 32429.43 1.01 14872 324 15609 3289 7599 1955 0 18319 5524 4 259 1358 0 50 40991 188113 1 37823 46688 1 5796 390 2976 8618 0 1790 43171 2505 25 8671 5651 0 995 14781 6960 0 6105 24399 15298 159191 69884 64431 31671 1241 25692 441508 39 0 163240 1 95532 7938 0 0 5 93052 97 95 1936 11226 192 0 59932 100172 442755 145404 15654 3179 115 1357 0 9312 1386 438196 962 41570 0 0 10 2769 17 0 42285 13 10642 75821 18446 74 56660 9826 0 17 37075 0 7156 426 351 0 17129 6351
3219512 127496.12 3.96 1693 533429 1664 82676 305658 39658 55179 89061 104130 172838 30079 33 71373 14332 76192 360713 341304 6624 230566 48001 151950 42138 134668 22295 150545 274913 9217 231016 97632 498312 177800 309720 127396 176960 44651 8191 28901 91373 538723 82523 504371 37338 143080 157409 54670 461141 26285 57135 52737 447089 15649 338 64859 201657 88844 192479 80677 42386 138616 7544 2 53303 147230 53376 117287 132267 527340 76572 23214 20239 395804 167942 554 23241 31200 95231 61996 210959 9937 398785 93229 12713 21962 38400 176254 4231 96826 87953 41113 19340 12963 2861 140555 77417 14375 89140 132804 268888 55091 278587
3219512 594473.39 18.46 947867 444284 494650 695835 706277 1319640 336757 755515 1341203 205917 688643 864110 134209 431806 670832 860577 708242 474357 441564 794273 475073 302490 394684 501002 33927 131818 604401 559358 585789 254186 1062527 193220 586680 44782 641471 419649 612657 994564 336822 674778 121531 938859 661527 322429 554225 415334 477046 731722 541205 343134 565315 566466 638429 141234 216250 851898 651524 712063 250182 329042 567108 269455 334721 319864 399988 1071224 874267 818506 747855 443445 1187071 649488 176141 1067110 1046585 777850 1025556 436518 445801 763861 523463 59129 1011642 665332 849220 343074 296327 233280 1101533 430855 576064 693478 740155 662292 1123807 214874 1074011 813246 1389940 467352
3219512 1323332.99 41.10 846938 1870652 693774 1951936 1085368 1344600 1036918 1309247 1240697 1253610 1118346 1559999 1691883 1447030 421176 1498612 437845 906597 1784858 1798945 1165758 1739789 1189383 1624015 1714870 1591775 913433 1140075 959079 2196639 1628122 1180151 1628175 1490862 874377 1038305 861983 1964491 1257072 1282251 1367369 964973 1283797 1120827 570401 2044425 1342498 1666291 1615649 1370650 1357504 623254 904279 929759 981453 1479460 1024778 1654932 1737321 1691369 1071548 1804309 1598125 1432553 557535 1009401 2096254 1590647 825908 1174752 664673 1164915 1687530 691476 1091769 1320717 1488133 954195 792684 2081810 1655412 1341252 842137 1557405 1233486 1794848 573344 1373407 521476 2049748 1672237 1636788 2105300 1215364 2194713 1647052 1596069 1668383 1135882 949437
3219512 2382160.00 73.99 2382160
