tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
7004462 91.87 0.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 4167 0 0 0 0 0 85 61 0 9 0 15 0 0 0 1 228 53 27 5 56 0 0 0 0 0 6 0 0 10 0 280 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4167 0 0 0 0 0 0 0 0 0 0 0 0 0
7004462 3130.75 0.04 16707 57 797 2748 5152 1083 55 123 796 432 6267 422 500 57309 2 2403 60 232 4398 4436 43 117 4182 4197 4496 171 0 291 2250 117 169 1570 39745 1269 78 15 6645 27 1453 71 104 3926 4321 4773 4169 238 501 110 1213 4733 5370 496 4192 4816 9836 3462 420 15 24555 219 1777 8951 564 1221 1032 1037 927 2934 10 247 8515 0 185 705 1106 3617 7252 1244 0 43 135 4686 357 322 331 428 4886 2827 91 138 422 185 1348 1184 909 196 0 3056 1853 0
7004462 20323.26 0.29 13761 21933 41252 26157 41513 3951 16578 3084 4659 23236 4750 7396 11611 76868 60551 29885 19139 25775 7929 14281 12219 17010 6891 730 1743 3020 8872 69329 777 10977 20752 22503 22997 6614 16147 27445 73390 5432 28317 23857 5502 4106 15172 1755 12857 17142 26259 9706 4295 2203 9669 10839 142418 36484 30160 694 39631 6821 64934 23285 9915 3070 15731 1357 88062 3109 3075 1809 13226 6830 34066 26531 1271 31356 1961 31344 20791 6991 35509 27671 2652 1911 50046 5273 3882 76794 16783 26384 4445 39959 2853 5045 10976 31885 14222 5267 14206 25002 31680 2123
7004462 115781.82 1.65 43615 45002 171249 202829 196395 125902 113522 197555 97722 25719 110038 34477 198346 90080 64156 67067 90375 175425 43112 33426 130096 27527 75897 64601 139268 126425 71431 49648 70919 91966 257527 261418 313744 123384 158266 17288 126294 106149 221268 61241 127933 105137 220569 197887 129798 191256 64928 261457 72041 132433 73597 49133 121961 155100 231893 114899 66647 124001 105535 21013 116587 75892 204294 94822 146298 122425 129601 39628 54925 92698 66667 164921 227051 132923 51894 79744 21216 243625 140612 112655 54617 130475 168604 128798 189694 103406 123114 65818 157786 78362 29773 91347 114372 140557 57142 58962 98219 64356 134712 82003
7004462 440521.32 6.29 538912 288019 378533 430339 289271 649216 464379 488225 378801 563002 229855 287973 303138 491836 289951 559477 384360 562229 330008 367325 405072 494551 596457 581826 271734 266918 332415 368620 646919 182953 358935 243640 460905 779552 424503 470285 288265 199568 392005 328357 274667 422463 511453 362921 224228 144045 658583 567959 284560 610962 631644 410006 432119 426717 350857 606750 514656 447785 559417 462658 583398 568440 773871 563634 499135 594377 418634 347568 533759 427818 379464 308805 488208 309520 544638 535039 335181 353446 407960 482460 642196 92666 734795 575092 441861 535418 494540 372309 266674 419315 452457 690949 474843 427118 504852 264074 373346 480738 412658 668097
7004462 1142885.00 16.32 1142885
