tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
3219512 8.79 0.00 0 0 0 0 0 0 0 14 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 17 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 431 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3219512 460.84 0.01 39 260 1 0 376 1717 232 0 124 18 648 433 229 42 1492 146 0 68 440 4 243 0 966 1978 0 18 1 0 1 3377 141 142 7 11 15 0 21 1904 250 922 74 101 0 4 1398 658 957 7 12 1 1 964 0 0 265 58 2604 18 6 851 309 4 241 4102 0 0 0 0 17 1587 0 124 2423 259 1333 0 1 7 826 475 28 7005 5 0 0 559 158 0 90 344 96 0 238 584 31 0 0 1 0 992
3219512 11268.10 0.35 1273 723 3269 5564 2508 470 2936 200 5764 2878 4975 87 522 1199 12625 9261 44174 2 8767 1328 45748 3061 1682 1825 19181 5695 7187 8191 4990 1122 1165 1533 12780 47341 1052 2253 2475 8 1 1086 1115 6 4617 3369 2378 6141 776 5738 5815 5980 2732 43617 1467 303 19 14570 806 11 8923 161616 8142 727 856 14808 4861 3038 23 18936 11674 43 1872 54717 5546 44731 3235 9371 2375 1504 105973 2381 1909 3852 1 2219 1572 95198 13966 24313 2851 8022 574 164 82601 2747 680 7679 8931 4975 18853 3990
3219512 62024.80 1.93 51863 211892 22486 9670 38604 42576 122230 22490 55845 18316 55563 169501 73603 145516 70479 9688 30354 36420 130417 20150 53906 61065 127535 135457 61723 50622 69121 35395 17441 16663 15137 26770 64226 24531 156964 12582 67030 154554 13973 13591 14337 139945 165558 10307 82493 7919 17429 22419 13590 23632 30358 15326 114562 62136 327833 40559 54243 159955 33300 105920 22186 40396 24092 29947 29341 14005 14536 54508 7511 55514 15049 95309 8546 96472 49193 47135 16349 80526 5500 18489 28726 19359 133412 161129 17352 94034 118655 7532 29723 35027 40986 50596 133976 195693 29571 21435 42713 237860 73696 48631
3219512 216001.44 6.71 124149 52017 229038 129120 55113 62072 58265 148737 287489 127436 425679 354153 192507 393697 141043 358241 181171 110830 97646 91564 161702 156572 352724 160233 46181 163751 396467 384688 307502 197396 196912 157024 180489 124022 198212 260574 183680 142162 246193 226560 236792 99954 302398 144344 112936 285834 170552 156272 321849 42814 129294 210739 212311 244025 354747 261499 76555 355831 138946 223791 78805 185120 361700 391713 367405 156653 268044 267149 223322 342060 264170 389093 160432 173749 67055 188547 311710 83249 235307 155011 255443 265695 166791 205359 289862 261688 296755 140420 324846 260262 394208 342684 101813 430788 384262 96460 140670 263917 260596 102837
3219512 560263.00 17.40 560263
