tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
7004462 65175.54 0.93 0 345789 0 138466 0 0 504314 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 2 0 621252 2197 604382 397848 0 0 0 0 0 0 504243 0 0 2 0 0 0 0 41087 0 0 0 753705 345789 0 753705 21 25 101632 0 0 0 0 135 436287 9 0 0 234015 0 0 134595 0 0 0 436358 0 0 0 26718 0 0 0 46 134595 21 71 0 25 0 0 0 0 82 133
7004462 746656.51 10.66 51055 191 1627091 211450 1118362 779726 1120286 740545 682847 967041 804655 663365 44134 878553 397915 51059 58313 541273 625788 116623 0 1140561 26909 678842 1912555 859833 554826 136792 45130 999418 291651 698267 1832686 823426 652513 1572220 135 1148238 1990024 263320 211415 534782 464676 2372705 943881 398770 2040620 1348115 1846494 2218 76801 514100 1841000 1248700 859747 766712 1129704 1115042 857353 4572 774642 44960 635825 621252 615240 956253 767563 1268727 1262995 44150 1236625 1257953 1157678 966006 1286808 910799 656372 698711 0 1483902 739030 31198 787921 663365 662060 1023188 605841 1313921 234015 526148 604382 263346 437719 1910285 1039833 950192 21 513991 954 26755
7004462 1764605.20 25.19 1415865 2511812 1509148 1001919 1910285 1616453 1081569 1987550 783668 1605258 1519142 1400279 1778697 3230041 1442387 2315414 928745 516047 1990682 1409901 2758324 1544757 2671064 3339858 2097403 1329777 2487101 1679697 1519738 2244422 1192857 1772904 2377901 1183286 3483262 733616 737482 2572891 2002537 1122767 2016512 1037691 607461 2704709 787625 3428512 1743114 1979596 1635409 1648662 279307 2417663 1432536 1745178 2013817 1905078 906905 2391347 2267503 3849676 1430289 1133244 1437490 2395046 453818 3170566 2678897 81981 879295 1643528 1610335 1850698 1645418 1367944 2047587 1890087 2995608 2094589 476168 2310425 1679578 2559794 2043523 2781480 1417748 2539712 1127421 802355 1530334 2844211 469195 1779757 1158101 516204 1615776 3701305 1711760 1634267 1133474 2216705
7004462 3511117.46 50.13 4754611 3710848 4105935 3382054 4001538 5820009 6127132 3536540 4839101 2634382 3457941 2426024 1917861 3804065 2774672 1556049 3890811 5165779 5221499 3509098 5185843 2722347 4462238 4362631 1803783 2851505 2604484 3823452 2327430 2195042 4851019 3270597 2582505 3574008 2578588 2532755 5648631 3260352 3070254 2990681 2044059 3158049 3481238 1803076 3750728 3697612 2317856 2500396 2664509 5485978 3910876 3924940 4340360 3489943 1383827 1989031 2928473 3248313 3258089 4487737 4431660 4218055 2043875 1917985 3920472 4485206 2125691 3787499 3231514 4837538 4450296 1896307 2001949 4402427 3815660 3354079 4352948 3658779 3197756 3635146 3891048 2395182 3375218 4504451 4478695 2603941 2964053 3268251 3551550 2706880 4563703 5115734 4067417 4909981 3609584 2909589 2793913 5275608 4389200 2773722
7004462 5197746.98 74.21 4308805 5468767 5403793 4299364 5163534 4686334 6997561 5207871 5536287 5752602 5972519 6492447 6319353 3798547 5858703 5507346 5905917 5408904 4886984 5529857 4931391 4618469 5023152 2761375 5365609 5776625 5233640 5867832 6428892 6365246 4245136 5004479 5572473 5085048 5978602 4888918 5278483 6059392 5400821 5207446 6234331 5689595 5157242 5993856 4410937 5713752 4481422 4547707 4714568 5434734 7004342 3050540 5526899 4581708 4707823 5570473 4062555 4665856 4377059 3689112 5176320 5013921 6959253 5645877 5182147 6160225 5888682 5440463 6052559 5540194 3270470 4218898 4838423 6030037 5294500 5090947 6580898 4328993 4355997 4564987 5728808 5083623 4720022 4976800 4754333 5448899 5073480 5583824 4421747 5005116 4267272 6463843 4731112 5525634 4689764 6527079 3691756 5788671 4183535 4262554
7004462 7004444.00 100.00 7004444
