tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
4344049 45781.36 1.05 0 0 0 0 291 0 0 0 1416 0 12 0 0 0 0 0 0 0 0 0 0 0 0 689689 106 0 17 0 0 0 0 106 0 0 0 0 0 0 0 106 0 291 0 0 552533 0 0 0 0 0 0 0 651830 0 0 0 0 0 0 0 0 0 0 0 198352 0 0 0 0 0 0 206450 0 207645 0 651830 0 0 0 0 0 0 0 0 291 0 5 0 0 0 0 675980 0 0 0 741186 0 0 0 0
4344049 398715.21 9.18 207645 206461 17 207989 552533 1341625 882430 1599466 1427 741186 198352 742566 198643 5 308 947742 1430892 0 1226038 329887 0 888052 1416 198352 0 12 328488 291 1080783 198352 1204783 1416 0 17 328471 0 106 198369 303 1522 106 741209 741186 5 0 948831 198643 881015 0 0 198352 552533 329904 741203 206450 850182 328577 689689 779744 111 689706 129 980301 1501364 198352 0 978387 17 859475 552533 1204224 106 1707 106 741885 297823 90055 5 552544 675980 23 206741 0 675980 741896 651830 689689 676098 0 552533 0 0 291 0 17 90055 552533 0 741186 1534265
4344049 1138112.06 26.20 1341630 676002 90072 939550 296510 2777794 2267348 198469 957352 535032 554240 1293719 1821997 296645 1593237 1417474 939644 328488 1539900 505577 198458 750885 329898 1228630 1830232 1982860 1910910 1328129 1018176 297717 860004 1521064 206490 1975613 2708893 209072 1570693 198352 626187 1535455 742713 2811870 1474459 2326108 779761 885052 1146290 751205 1958503 1156103 750897 1224610 875793 1745648 1448963 1094612 1268009 675992 90055 552562 1484060 1329226 689701 1228524 3131586 652232 677407 1185741 781283 1627228 1625532 1841066 1739575 2177367 874645 1713700 1353767 651835 1823459 766051 676271 1416 1037708 1662179 2082705 1303881 1535758 1520930 308 1328113 1830546 291 735990 975398 675985 676288 691211 198352 2570049 536239
4344049 2044825.71 47.07 1236451 966662 1327956 1876736 2519056 3277693 1824391 1835783 1715001 2498240 3847765 1386564 1067452 2603214 1246898 883647 2521970 2290373 536459 1494208 2988692 3339593 2298988 1484484 2263518 2472511 1961920 3026751 958826 2648067 966223 3087262 3455873 2623359 2398533 2923969 2463684 1502329 1508932 2628864 1096056 1276940 2126284 3000985 2184183 3075190 2433038 2084220 1779776 3041599 1616345 1644170 404824 3463005 536447 971087 3519481 2152338 2932001 2817741 2067065 1575531 2397507 1436584 2326052 2286451 2603035 751282 2269240 1921422 1476085 1457464 2552543 2399219 1156843 3098696 1315983 496419 2661246 1869033 2926587 2313428 851917 2631653 1838590 2183920 2498241 1660770 1180258 2643997 1237260 209380 3383706 1368908 1278304 2135878 2697013 2358112 1745950 3106392
4344049 3313359.46 76.27 2680431 4015566 3701439 3592734 4136281 3577985 3938956 2894177 4014157 3929949 2596705 3564305 3357843 2597405 3482749 3602863 3239845 3395202 3461612 3337880 2145648 4252472 3053898 2950905 3369734 3363703 2802420 2728531 3255372 3654360 3115430 3939236 1514769 3731597 3324064 2687739 3183928 4014150 3652933 3938052 3127514 2584686 2701011 3446097 2602004 3928521 3939231 2926581 3338153 4343926 3000992 1610900 3002390 3255076 2926883 4252449 3041887 2467475 2841963 3404506 3377405 3601145 3807933 2807178 3585037 3928235 3461328 2743056 4046349 3139284 3583871 3369960 2283875 2912883 4134685 3195019 4136113 3139686 2705120 2424022 4134971 3116828 3138259 4344037 2957751 2695582 4136392 3511392 4343746 3511109 3583348 3584758 2398197 3363736 3492025 2489405 2841981 3050219 3468301 4252455
4344049 4344049.00 100.00 4344049
