tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
7004462 595.36 0.01 15 0 0 1518 0 0 1 0 0 569 0 0 0 0 16 2 0 0 0 0 0 2 0 357 0 0 0 0 1436 0 530 382 47 244 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 40008 0 0 0 13994 0 0 0 0 2 0 2 0 0 7 0 0 1 0
7004462 59068.05 0.84 5803 5 14696 13239 4231 12025 9586 7917 11759 36464 19317 0 38709 92039 252701 194573 40091 25 2045 1639 3121 1963 67143 8963 4930 151596 12617 10437 141695 11 107909 508578 877 85097 4269 2 703 0 32909 43826 81891 7066 202908 1531 286042 147396 17697 302089 909 2 252164 4600 17 31 9635 55430 0 286589 74997 918 66137 181685 16510 42057 614904 13808 1442 50804 1833 113 29 60282 6261 7 10939 30124 793 27022 3062 577 2375 125 10947 87473 12247 0 1 292 66066 16517 16380 2373 17017 665795 222 125010 164 891 67749 11350
7004462 416783.78 5.95 343558 801642 474860 160623 308454 133258 757848 352522 147324 273765 184022 357143 500777 474315 25353 207196 207105 1166123 477280 820632 306330 213166 58641 469842 228842 75916 169691 389906 253295 8895 551869 501647 206420 1708198 708261 348259 581697 728459 158186 1147779 448960 264982 502704 519897 522856 81890 55614 37448 367149 44277 509392 329608 414952 251599 1003658 274982 448260 159957 646919 71065 306377 1146105 652459 268416 80252 118337 408487 864446 74759 614262 68881 27795 587191 128478 233199 200864 691124 110628 452186 218562 783698 200805 269685 1214043 196095 1068917 21943 38092 229228 87390 1617940 778566 652888 1063434 298611 63568 824624 786181 224722 59872
7004462 1492423.22 21.31 486832 1593991 2565013 2481941 1727857 478974 1993249 1162625 1377411 1674677 531264 3193244 1384449 1051367 1313832 2065593 1158707 707720 1996205 986180 811712 2350718 1737473 2528849 1279927 1876596 962241 2268927 2263414 532642 3086488 1281815 935787 1212027 1123526 905136 2757661 699639 2200702 542664 1335221 1725933 441721 3384819 764383 942392 2288427 854829 912623 1944254 455745 1256489 1729218 997833 865720 1896597 796557 1514911 1476443 1752781 1537507 1624009 977992 1518704 358503 2337902 1632343 1677632 1143849 1990313 1539342 2076757 2779817 890621 1201114 531335 1157272 1578101 1859941 1991533 1213886 936174 1931939 1247430 398260 816109 745268 550639 673314 1040322 753690 2824371 1508108 2204921 3195349 1630102 3159477 1427042 1609310 2346053
7004462 3229861.17 46.11 2845608 2015217 4411013 3908297 3886004 3255317 3522653 2392062 4072246 3806501 2620040 2563763 2259571 3442663 3841675 3458968 1293268 3285009 3491357 3344037 2364381 2662869 4744067 1959352 3664610 2877220 2865949 3522060 3832795 4269196 3740558 3711501 1378628 3053606 2441295 4523870 3574370 3034082 3071289 1829712 3349691 3559089 4321993 2670131 2710591 1846101 3572212 4306196 4236628 3178020 2481676 4522527 2550210 3482847 2914440 1985383 3967997 3595992 3407407 2303640 4463558 2956578 2709779 2469536 3837628 3111331 2837904 3028303 4058325 1217252 4110052 3288507 3807410 3022966 2344443 2736721 2425213 2330822 3800205 4006624 4333435 3574354 4258844 4157941 2957015 4161380 4079139 3099692 2943516 2947671 4674221 4662729 3990669 4211491 2520111 2790131 1546810 1794683 2649796 3269882
7004462 5534333.00 79.01 5534333
