tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
4021230 14.55 0.00 0 0 5 0 0 1 31 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 149 0 0 1 2 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 0 0 0 274 0 0 0 0 0 0 0 0 0 1 0 0 0 0 16 0 871 0 0 2 0 0 0 0 0 0 0 55 0 0 0
4021230 30111.79 0.75 5380 56633 3608 3427 9197 19221 61905 0 27340 34 136166 6 11589 275 1 16022 53085 151920 5869 8097 41 1891 0 2184 23 101066 1404 1 71 2010 0 8474 23204 43471 231 3114 41834 15029 2206 4 83 184883 22963 243397 110 10572 248896 116962 116220 627 41856 789 686 14135 2 16 15166 1 81623 191 20804 675 32 26470 222 7136 9318 0 2349 71583 94945 380 97 0 35 16047 6552 2415 5946 2240 165 2120 44071 1580 5399 0 52 126358 506090 2054 224 2817 0 2 169 2 16132 121480 5 2
4021230 191266.40 4.76 4235 10260 101298 378248 388153 283382 229995 5165 10477 234445 32517 441884 556578 103266 32962 12702 89539 133106 152621 194728 206119 413682 8790 55927 39748 71233 323663 297994 9138 116 162259 399998 37 151270 50233 187718 14019 220562 9557 6935 86400 496 284489 179707 732143 441805 9938 1021959 430414 311584 269476 74662 103516 98993 8209 879183 235571 293293 480179 36 148999 22951 102060 633168 44773 243639 50452 225 650927 68297 300560 25038 22910 207185 165716 137316 136494 375138 23139 78690 822001 55617 508289 100430 204684 20980 39085 20505 47725 81148 236543 112419 97404 233093 38299 270759 208084 279881 311484 33921
4021230 735593.38 18.29 1698560 309594 990195 669492 160740 190556 426044 1058458 347430 718258 1462940 939913 935781 598749 58409 190706 981143 58398 1281910 108309 878927 238651 797010 221437 1417970 619383 384384 1291214 247683 1163439 391132 1476831 151693 900918 77422 1508989 689358 551146 88788 625900 726819 1055235 951735 550487 732431 305904 572427 1493528 539453 984161 745950 77248 666997 1738575 1063636 372161 1136955 708012 852964 1516867 387399 902751 356877 1313882 750279 1294869 759500 1917840 223289 470162 619839 1234661 506229 898051 49755 995789 1045184 179735 414118 815852 405139 821931 875643 1103805 1697474 51845 512486 1314927 431471 249476 533420 97225 483461 527623 731592 543678 1457010 1405340 775719 704607
4021230 1754042.35 43.62 2680919 2322494 1566099 1904805 2175856 1045607 2277384 1232784 1440835 2996674 1994717 1645769 2190484 1787383 1704694 1528053 1656348 1316890 1732734 2115601 2120689 1591666 1636285 1839895 1877152 1951687 1251081 1311506 3016670 1776367 1359629 1739279 2717546 1680696 1767414 2399493 1243674 1910967 1423114 1636029 2295564 2449887 1249916 1310752 843049 1732988 2721887 1255690 1939652 1562076 1222944 1880669 696090 2425812 1839787 2026248 1879196 1554371 1518709 1586799 2076703 1277118 2036767 488141 2081223 2045857 2432383 1411726 1401373 1293917 2269421 1803430 1704981 1182911 1129723 3049395 1429293 1179427 2783536 1660741 1651066 444699 1570413 1728172 2337629 1096719 1762637 1624532 2213536 1222719 1438413 1508848 2086430 983290 1632851 1172027 2037279 2132205 1990466 2473183
4021230 3284416.00 81.68 3284416
