tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
5886175 1.14 0.00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 79 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5886175 1814.63 0.03 4771 151 1 2405 5 445 7036 0 0 0 0 3967 5463 4536 0 68 0 0 0 3 0 0 1 0 10 0 386 137 0 0 729 0 1147 1 40 0 0 0 0 0 0 0 4857 184 0 7 0 0 0 2562 333 91 5210 27112 0 778 4 5033 0 0 670 76 799 1925 59 0 5825 30339 0 0 5657 78 0 6023 146 0 29985 2 1 1 161 46 24 0 6 12573 11 0 2 0 0 221 196 0 0 0 4470 0 70 4624
5886175 10178.72 0.17 3882 66192 1084 2721 3958 3522 8 1416 20615 121 6732 480 42246 202 346 9537 987 7160 1238 68185 3389 468 11292 2145 17215 603 906 6850 2184 13273 8396 14810 1892 653 2262 3260 5079 5485 227 3888 986 17023 8965 2 1279 23021 75052 40961 59 15617 10995 12202 7685 1442 2917 2196 1921 2673 6 17885 21678 3157 1 3432 2813 13610 36009 3108 124 12405 1944 1795 749 6485 1196 20328 1107 15175 581 1193 31096 23022 7485 1389 2434 41014 12202 12803 6419 64484 0 2 2 8565 9775 1302 589 833 57460 2310
5886175 82644.64 1.40 138443 46493 26335 151114 81148 184154 32312 8624 28239 201441 42779 23186 31522 190031 43504 36413 60548 83550 262914 98304 14853 25686 175305 65297 31910 62310 166331 63015 14851 224063 99044 5931 75095 162725 45707 165300 6725 3316 102811 26058 143119 24678 158357 72782 6375 13812 81643 112908 92968 39655 68395 45388 212722 86194 35127 53347 103239 399 155888 43324 58850 58001 38991 101007 243853 56078 8546 150130 47910 40090 9724 73302 84770 44799 69065 47023 80572 112050 45470 6246 33648 52412 237450 42951 86953 183193 9309 1530 50414 210868 83487 167716 206421 100618 31843 175168 40530 46987 119996 148786
5886175 268900.83 4.57 230210 276542 353873 497381 204976 304401 378171 137377 68127 324383 128443 182724 195879 192533 153821 388190 362951 148293 263536 361742 103359 431072 385529 223281 343777 129786 305378 161698 337826 81380 110851 247871 171463 230724 89751 185649 364809 313191 364792 315548 288887 380754 160424 296799 282527 181452 435970 432430 354478 310198 250792 367315 402098 166047 93321 361727 336420 147609 388813 339717 188493 298371 130687 386019 166092 418425 395721 347868 341766 177007 167830 188629 185743 300494 190819 223928 68718 341971 93089 246066 367197 413068 142170 356742 344636 452600 200018 421176 224974 344589 241402 119263 374705 251979 144055 317654 433016 69683 353152 431202
5886175 743828.00 12.64 743828
