tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 s25 s26 s27 s28 s29 s30 s31 s32 s33 s34 s35 s36 s37 s38 s39 s40 s41 s42 s43 s44 s45 s46 s47 s48 s49 s50 s51 s52 s53 s54 s55 s56 s57 s58 s59 s60 s61 s62 s63 s64 s65 s66 s67 s68 s69 s70 s71 s72 s73 s74 s75 s76 s77 s78 s79 s80 s81 s82 s83 s84 s85 s86 s87 s88 s89 s90 s91 s92 s93 s94 s95 s96 s97 s98 s99 s100
12324785 83644.03 0.68 407494 0 0 0 0 0 400876 0 0 0 695357 0 0 2641012 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 514788 0 0 0 119357 0 0 0 0 0 272 0 0 0 809578 0 0 0 0 0 0 0 0 0 0 407494 0 0 15116 705816 400876 0 0 0 0 0 0 0 0 0 0 0 0 407494 0 0 0 0 0 809578 0 0 0 0 0 0 33 0 0 75 0 0 0 29187 0 0 0 0
12324785 931818.58 7.56 1113312 75 277669 277669 3329316 4275763 809578 0 287428 0 3891168 3250575 287430 634145 2760369 3771811 287428 3772191 15388 316615 0 922554 519393 277669 0 272 4262019 0 1324638 809578 29187 0 5111293 695390 0 0 490480 1210726 407569 1097039 1311003 29187 407090 1271302 1324441 705818 287700 576000 287428 2943556 277941 400876 277669 2 406785 4978417 0 2 802291 15116 2 809653 277669 1081594 809578 1281816 529904 287430 77 0 3771811 277702 0 272 3155800 576000 853669 287430 400951 2 1225570 0 75 515060 809578 514790 0 922554 4347919 490281 0 397026 119357 287428 2641012 415992 305 0 3275157 33
12324785 2645759.54 21.47 4885198 5912792 3570022 1378249 1647819 4851403 4492743 543975 1315381 1391054 809883 2307153 4877715 976876 4347844 3053154 1066206 2928515 1394195 576305 1215429 3176363 5902998 2402626 3099828 1324366 1406095 714350 8113516 2330429 898007 407768 1091948 3131253 1208449 148579 3041921 5461259 287430 3556678 821949 1185400 4458089 1264337 714383 1066208 4059513 2608393 4262094 4763805 809653 5482621 1786454 1610858 5982234 2843190 3042162 3977441 4172859 3007060 694997 822014 519468 1235992 928074 332111 1400727 7340583 5245513 4579386 4156481 1791230 2641012 5230652 1527743 4273748 699603 287700 2606292 4744402 1586006 1283010 2928787 4252033 2225432 983766 1993211 930780 3852150 4377792 1508032 4849717 426213 7826406 3889067 3391405 5354419 1020110 777636 897777
12324785 5507378.51 44.69 1928617 4937871 6621631 6102957 6292109 4436324 2313404 4957449 3113420 4828601 6838151 3748425 7638700 5235765 4824167 5121071 4071047 6593809 8591931 4813560 2162006 5255296 9905318 4558999 4564648 1529609 5247210 7512776 9399261 4639524 9031060 6497655 1405693 2340759 7111835 4651587 6387686 5806631 1204903 2038115 2154493 4889855 6625826 3811948 3689738 6402464 8711696 5184550 3890788 9222015 8487688 8972100 5981703 1790655 8747630 3106435 8394556 5906105 653901 8416493 6490149 6542002 1804462 5156181 5150855 4338129 6717237 5496600 2329750 8696525 7824907 8640445 1327359 8923724 6780336 5438402 7483277 5259588 6977920 1905725 2341849 6117630 7464304 8469964 1641276 5872617 6253492 6620535 6290077 1458841 7622410 8586201 4823999 6779241 6144459 7141690 8277203 5694372 6545063 4008836
12324785 8190838.02 66.46 9634232 3233084 5166004 7140164 2901765 3567691 6352552 6539634 8972100 5602098 6550798 8390318 11046415 6997207 7274909 3984528 7113178 9645275 9115062 6421238 8604124 9734598 11046720 5900234 9949714 7997867 7655589 10358416 9224198 10193051 9642586 10229388 5404187 9531019 10466399 5934946 9688119 10358144 7983023 7397271 9037865 10556207 5861089 5991144 4013519 9554981 6187662 9723529 6162275 9421149 9328148 5229339 10026610 10769051 9662240 5483151 3334080 9736878 8390318 5950238 10149020 10639226 10490682 6658178 9543831 7829403 10278845 9579638 9335910 6531887 7350964 8004757 4843851 5682307 9658237 8900554 9543002 11046687 9231801 10526410 10759217 10882711 10133902 11046643 10519869 5473667 6507001 10639224 3430770 10080672 6888051 6873958 10768779 9691643 6987481 9335563 10912247 6068272 9628676 9262948
12324785 11046720.00 89.63 11046720
