tot_queries avg_valid percent_valid s1 s2 s3 s4 s5 s6 s7 s8 s9 s10
1155696 0,80 0,00 1 7 0 0 0 0 0 0 0 0
1155696 165765,50 14,34 485201 2233 226955 151 16 197445 208390 383376 153888 0
1155696 249901,90 21,62 234048 249122 250149 337670 274393 19594 8837 480730 185757 458719
1155696 456433,50 39,49 610284 389232 362045 806085 193989 510655 242593 446233 587037 416182
1155696 841709,30 72,83 766735 1025815 1027256 1022917 764966 754508 1028041 617322 639361 770172
1155696 1036122,00 89,65 1036122
